alt,vel
1200,271.55075
1221.2121,270.05258
1242.4242,268.52033
1263.6364,266.85796
1284.8485,264.43371
1306.0606,262.00732
1327.2727,259.5964
1348.4848,257.20072
1369.697,254.81953
1390.9091,252.45247
1412.1212,250.0989
1433.3333,247.7585
1454.5455,245.43059
1475.7576,243.115
1496.9697,240.81111
1518.1818,238.51841
1539.3939,236.23683
1560.6061,233.9656
1581.8182,231.70444
1603.0303,229.453
1624.2424,227.21096
1645.4545,224.97772
1666.6667,222.7533
1687.8788,220.537
1709.0909,218.32843
1730.303,216.12734
1751.5152,213.93344
1772.7273,211.74632
1793.9394,209.56548
1815.1515,207.39091
1836.3636,205.22182
1857.5758,203.05797
1878.7879,200.89922
1900,198.74508
1921.2121,196.59502
1942.4242,194.44888
1963.6364,192.30631
1984.8485,190.16665
2006.0606,188.02976
2027.2727,185.89521
2048.4848,183.7626
2069.697,181.63147
2090.9091,179.50151 
2112.1212,177.37208
2133.3333,175.24292
2154.5455,173.11371
2175.7576,170.98371
2196.9697,168.85269
2218.1818,166.72001
2239.3939,164.58531
2260.6061,162.44796
2281.8182,160.30738
2303.0303,158.16326
2324.2424,156.01477
2345.4545,153.86149
2366.6667,151.70265
2387.8788,149.53771
2409.0909,147.36602
2430.303,145.18677
2451.5152,142.99926
2472.7273,140.80272
2493.9394,138.59626
2515.1515,136.37903
2536.3636,134.15015
2557.5758,131.90857
2578.7879,129.65323
2600,127.38312
2621.2121,125.09689
2642.4242,122.79337
2663.6364,120.47104
2684.8485,118.12857
2706.0606,115.76424
2727.2727,113.37633
2748.4848,110.96287
2769.697,108.52182
2790.9091,106.05095
2812.1212,103.54763
2833.3333,101.00908
2854.5455,98.432202
2875.7576,95.813521
2896.9697,93.103505
2918.1818,90.412983
2939.3939,87.644412
2960.6061,84.814607
2981.8182,81.917221
3003.0303,78.944377
3024.2424,75.786602
3045.4545,72.691638
3066.6667,69.431276
3087.8788,66.044264
3109.0909,62.5114
3130.303,58.734818
3151.5152,54.821743
3172.7273,50.657838
3193.9394,46.049275
3215.1515,41.142219
3236.3636,35.447572
3257.5758,28.708335
3278.7879,20.193958
3300,-5.6543081
