# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.002,-0.0000078,-0.0078298,-3.914718,0.0078489,3.9242774,-0.0000005,0,0.0000005,180,0.0005475,0.2737438,33,-107,9.7913953,86.0667232,0,0,0,29659.2887309,8106.2636492,20.1875746,0.1117395,NaN,171.0991212,NaN,0.0200749,1161013.9774336,173.3072857,0.0001577,0.4288339,0.0003347,0.345364,0.0130047,0.0704652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000001,15.748,194.778355,86,0,6.7240435,5.9780001,857.4736005,334.921568,0.002,0.0331665
0.004,0.0000155,0.0154877,7.7443803,0.0155256,7.7632913,0.0000011,0,0.0000011,0,0.001083,0.5415398,33,-107,9.7913953,85.8682622,0,0,0,29657.5523801,8104.5272983,20.1864208,0.1117375,NaN,171.094501,NaN,0.0201121,1163168.7973137,519.9218571,0.000183,0.4287084,0.000387,0.3452388,0.0130043,0.0704653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000019,15.748,194.778355,86,0,6.7348784,5.9779999,857.473598,334.9215679,0.002,0.0404566
0.006,0.0000853,0.0542957,19.404843,0.0544283,19.4522276,0.000006,0,0.000006,0,0.0037967,1.3569188,33,-107,9.7913953,85.5391001,0,0,0,29655.8160293,8102.7909475,20.1852669,0.1117354,NaN,171.0898802,NaN,0.0201532,1165543.0082052,866.5364286,0.0002304,0.4285704,0.0004852,0.3451012,0.0130038,0.0704654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000067,15.748,194.778355,86,0,6.7457134,5.9779994,857.4735906,334.9215677,0.002,0.0464354
0.008,0.000256,0.1164267,31.0666692,0.116711,31.1425309,0.0000179,0,0.0000179,0,0.0081413,2.1723931,33,-107,9.7913953,85.0139831,0,0,0,29654.0796785,8101.0545967,20.1841129,0.1117333,NaN,171.0852588,NaN,0.0202008,1168299.4829829,1213.151,0.0003213,0.4284107,0.0006735,0.3449419,0.0130033,0.0704656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000143,15.748,194.778355,86,0,6.7565483,5.9779983,857.4735724,334.921567,0.002,0.0528549
0.01,0.0005743,0.2018833,42.7298586,0.2023763,42.8342006,0.0000402,0,0.0000402,0,0.0141171,2.9879628,33,-107,9.7913953,84.2948246,0,0,0,29652.3433276,8099.3182458,20.1829588,0.1117312,NaN,171.080637,NaN,0.020257,1171548.1074563,1559.7655714,0.00048,0.4282231,0.0010006,0.3447548,0.0130026,0.0704658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000248,15.748,194.778355,86,0,6.7673832,5.9779963,857.4735386,334.9215657,0.002,0.0593657
0.012,0.0010869,0.3106684,54.39441,0.311427,54.5272356,0.000076,0,0.000076,0,0.0217241,3.8036277,33,-107,9.7913953,83.3841514,0,0,0,29650.6069768,8097.581895,20.1818045,0.1117291,NaN,171.0760145,NaN,0.0203243,1175438.64694,1906.3801429,0.0007457,0.4279993,0.0015441,0.3445316,0.0130018,0.070466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000381,15.748,194.778355,86,0,6.7782182,5.9779929,857.473484,334.9215637,0.002,0.0654348
0.014,0.0018403,0.4427846,66.0603217,0.4438659,66.2216342,0.0001287,0,0.0001287,0,0.0309625,4.6193877,33,-107,9.7913953,82.2853261,0,0,0,29648.870626,8095.8455442,20.1806501,0.111727,NaN,171.0713916,NaN,0.0204059,1180159.468487,2252.9947143,0.0011767,0.4277291,0.0024171,0.344262,0.0130009,0.0704662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000543,15.748,194.778355,86,0,6.7890531,5.977988,857.4734039,334.9215608,0.002,0.0706816
0.016,0.0028813,0.5982347,77.727591,0.5996955,77.9173939,0.0002015,0,0.0002015,0,0.0418326,5.4352426,33,-107,9.7913953,81.0028115,0,0,0,29647.1342751,8094.1091934,20.1794956,0.1117249,NaN,171.0667681,NaN,0.0205058,1185935.7237043,2599.6092857,0.0018564,0.4274003,0.0037763,0.343934,0.0129998,0.0704665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000734,15.748,194.778355,86,0,6.799888,5.9779813,857.4732931,334.9215567,0.002,0.0746981
0.018,0.0042566,0.7770214,89.3962145,0.7789188,89.614511,0.0002976,0,0.0002976,0,0.0543346,6.2511923,33,-107,9.7913953,79.5424606,0,0,0,29645.3979243,8092.3728425,20.1783409,0.1117229,NaN,171.062144,NaN,0.0206284,1193026.8224678,2946.2238571,0.0028985,0.4269995,0.0058262,0.3435342,0.0129984,0.0704669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000954,15.748,194.778355,86,0,6.810723,5.9779723,857.4731469,334.9215512,0.002,0.0786544
0.02,0.0060127,0.9791473,101.0661874,0.9815383,101.3129807,0.0004205,0,0.0004205,0,0.0684686,7.0672363,33,-107,9.7913953,77.911808,0,0,0,29643.6615735,8090.6364917,20.1771862,0.1117208,NaN,171.0575194,NaN,0.0207788,1201723.029629,3292.8384286,0.0044519,0.4265122,0.0088198,0.3430481,0.0129967,0.0704674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0001202,15.748,194.778355,86,0,6.8215579,5.9779609,857.4729601,334.9215443,0.002,0.0838534
