# Time (s),Vertical acceleration (m/s²),Lateral acceleration (m/s²),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Air temperature (°C),Air pressure (kPa),Shenanigans (dBm/m)
0.01,14.89047,2.625592,0,0,0,0,99.57937,0.1488789
0.02,83.65094,14.74992,0,0,0,0,99.5793,0.9851635
0.03,85.70228,15.11162,0,0,0,0,99.57913,1.841957
0.04,87.10018,15.35811,0,0,0,0,99.57885,2.71273
0.05,87.59308,15.44502,0,0,0,0,99.57847,3.58844
0.06,87.18051,15.37228,0,0,0,0,99.57799,4.46003
0.07,86.76668,15.29931,0,0,0,0,99.57739,5.327486
0.08,86.35166,15.22613,0,0,0,0,99.5767,6.190797
0.09,85.9355,15.15275,0,0,0,0,99.5759,7.049951
0.1,85.51824,15.07917,0,0,0,0,99.57499,7.904937
0.11,85.0999,15.00541,0,0,0,0,99.57398,8.755744
0.12,84.68051,14.93146,0,0,0,0,99.57287,9.602361
0.13,84.26009,14.85733,0,0,0,0,99.57166,10.44478
0.14,83.83866,14.78302,0,0,0,0,99.57035,11.28298
0.15,83.41623,14.70853,0,0,0,0,99.56893,12.11697
0.16,82.99318,14.63394,0,0,0,0,99.56741,12.94673
0.17,82.56935,14.5592,0,0,0,0,99.5658,13.77225
0.18,82.14478,14.48434,0,0,0,0,99.56408,14.59353
0.19,81.7195,14.40935,0,0,0,0,99.56227,15.41055
0.2,81.42366,14.35719,0,0,0,0,99.56035,16.22463
0.21,81.91223,14.44334,0,0,0,0,99.55834,17.04359
0.22,82.53229,14.55267,0,0,0,0,99.55623,17.86874
0.235,83.33921,14.56934,0,0,0,0,99.55287,19.11837
0.2575,84.33386,14.87082,0,0,0,0,99.54741,21.01474
0.29125,83.7762,14.23819,0,0,0,0,99.53825,23.84035
0.34125,83.24286,14.12705,0,0,0,0,99.52257,27.99851
0.39125,83.52719,14.85795,0,0,0,0,99.50436,32.17418
0.438958,81.4894,15.3923,0,0,0,0,99.48467,36.06239
0.4825778,80.98911,17.58223,0,0,0,0,99.4647,39.60207
0.5325778,80.85193,20.0018,0,0,0,0,99.43952,43.65226
0.5825778,80.61011,22.58966,0,0,0,0,99.41188,47.69516
0.6325778,80.10349,25.44842,0,0,0,0,99.38181,51.71674
0.6825778,79.47838,27.23321,0,0,0,0,99.34931,55.69854
0.7325778,78.96008,28.42823,0,0,0,0,99.31442,59.65459
0.7825778,78.48199,29.4017,0,0,0,0,99.27714,63.58507
0.8325778,77.63303,31.12562,0,0,0,0,99.23749,67.48359
0.8825778,76.95177,31.83354,0,0,0,0,99.19549,71.33302
0.9325778,76.00683,33.22416,0,0,0,0,99.15118,75.15134
0.9821472,75.24699,34.06201,0,0,0,0,99.10498,78.88522
1.019743,74.95606,33.77438,0,0,0,0,99.06846,81.70025
1.063128,74.92266,32.87525,0,0,0,0,99.02472,84.94381
1.113128,74.94684,31.78533,0,0,0,0,98.97219,88.68414
1.163128,74.8179,31.23184,0,0,0,0,98.91741,92.42004
