# Time (s),Vertical acceleration (m/s²),Lateral acceleration (m/s²),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Air temperature (°C),Air pressure (kPa),Shenanigans (dBm/m)
0.01,14.89047,2.625592,0,0,0,0,99.57937,0.1488789
0.09,85.9355,15.15275,0,0,0,0,99.5759,7.049951
0.19,81.7195,14.40935,0,0,0,0,99.56227,15.41055
0.4825778,80.98911,17.58223,0,0,0,0,99.4647,39.60207
0.9821472,75.24699,34.06201,0,0,0,0,99.10498,78.88522
1.463128,73.07752,25.67113,0,0,0,0,98.54148,114.5845
1.782966,63.87587,34.63031,0,0,0,0,98.05436,136.6371
2.015298,64.1632,19.91499,0,0,0,0,97.64955,151.4558
2.209606,30.59468,22.33927,0,0,0,0,97.28472,160.8569
2.378407,15.95644,4.897708,0,0,0,0,96.95774,164.424
2.564185,-4.196676,7.954876,0,0,0,0,96.59245,165.4847
2.735354,-12.29213,5.649257,0,0,0,0,96.25682,163.9544
2.96276,-17.72461,2.927346,0,0,0,0,95.81805,160.1833
3.09,-21.01302,4.063971,0,0,0,0,95.58,157.4297
3.19,-22.24431,4.538664,0,0,0,0,95.394,156.1524
3.29,-22.47355,4.651718,0,0,0,0,95.204,153.5446
3.39,-22.24976,4.599072,0,0,0,0,95.032,150.9792
3.49,-21.86937,4.487744,0,0,0,0,94.844,148.8927
3.59,-21.50385,4.380748,0,0,0,0,94.681,146.4152
3.69,-21.14905,4.27659,0,0,0,0,94.51,144.4989
3.79,-20.74722,4.153389,0,0,0,0,94.344,142.1824
3.89,-20.32992,4.022789,0,0,0,0,94.174,140.0708
3.99,-20.01705,3.930759,0,0,0,0,94.015,138.1428
4.09,-19.72113,3.844191,0,0,0,0,93.851,136.6148
4.19,-19.45477,3.768115,0,0,0,0,93.698,134.1595
4.29,-19.15166,3.676663,0,0,0,0,93.531,132.7517
4.39,-18.89053,3.600679,0,0,0,0,93.385,130.6932
4.49,-18.64723,3.530851,0,0,0,0,93.237,128.6172
4.59,-18.276,3.408675,0,0,0,0,93.083,126.4413
4.69,-18.01244,3.328426,0,0,0,0,92.94,124.9396
4.79,-17.77483,3.25769,0,0,0,0,92.794,123.2019
4.89,-17.54424,3.188879,0,0,0,0,92.649,121.6722
4.99,-17.30569,3.115808,0,0,0,0,92.505,119.8235
5.09,-17.06817,3.042127,0,0,0,0,92.374,117.9743
5.19,-16.92342,3.006541,0,0,0,0,92.24,116.8812
5.29,-16.77154,2.967468,0,0,0,0,92.108,115.0371
5.39,-16.45017,2.855077,0,0,0,0,91.978,112.6804
5.49,-16.14605,2.748341,0,0,0,0,91.847,111.3588
5.59,-15.8873,2.659683,0,0,0,0,91.725,108.9836
5.69,-15.60348,2.558503,0,0,0,0,91.597,107.9824
5.79,-15.45698,2.516728,0,0,0,0,91.479,105.9631
5.89,-15.2057,2.427225,0,0,0,0,91.356,104.4944
5.99,-15.12228,2.412282,0,0,0,0,91.231,103.662
6.09,-15.03299,2.394484,0,0,0,0,91.118,102.2234
6.19,-14.92103,2.365983,0,0,0,0,90.999,100.856
6.29,-14.82406,2.344036,0,0,0,0,90.885,99.1483
6.39,-14.59224,2.25818,0,0,0,0,90.77,97.7015
6.49,-14.492,2.233372,0,0,0,0,90.658,96.60582
6.59,-14.36682,2.196168,0,0,0,0,90.55,94.85142
6.69,-14.1905,2.133426,0,0,0,0,90.44,93.56921
6.79,-14.11868,2.120813,0,0,0,0,90.338,92.4004
6.89,-13.97575,2.072711,0,0,0,0,90.236,90.42876
6.99,-13.58158,1.897486,0,0,0,0,90.123,89.03753
7.09,-13.41332,1.833176,0,0,0,0,90.033,87.04515
7.19,-13.20607,1.747479,0,0,0,0,89.926,86.3391
7.29,-13.16281,1.745075,0,0,0,0,89.834,85.12417
7.39,-13.09238,1.728419,0,0,0,0,89.743,83.79534
7.49,-13.12718,1.767404,0,0,0,0,89.647,82.96903
7.59,-13.05319,1.748863,0,0,0,0,89.56,81.34419
7.69,-12.8687,1.669767,0,0,0,0,89.47,79.71266
7.79,-12.81201,1.659272,0,0,0,0,89.38,78.8972
7.89,-12.73648,1.638065,0,0,0,0,89.296,77.39328
7.99,-12.4704,1.508612,0,0,0,0,89.208,75.83274
8.09,-12.33989,1.453537,0,0,0,0,89.124,74.83368
8.19,-12.36266,1.486066,0,0,0,0,89.042,74.09055
8.29,-12.3986,1.527296,0,0,0,0,88.964,72.42422
8.39,-12.08208,1.359459,0,0,0,0,88.877,71.13889
8.49,-12.04169,1.354036,0,0,0,0,88.801,70.1819
8.59,-11.9042,1.288947,0,0,0,0,88.722,68.61561
8.69,-11.75757,1.216342,0,0,0,0,88.65,67.35236
8.79,-11.6504,1.166578,0,0,0,0,88.585,65.80325
8.89,-11.47763,1.073322,0,0,0,0,88.507,64.64958
8.99,-11.44447,1.068123,0,0,0,0,88.428,64.52949
9.09,-11.65051,1.220897,0,0,0,0,88.357,63.44691
9.19,-11.58234,1.194457,0,0,0,0,88.288,61.5804
9.29,-11.3803,1.075889,0,0,0,0,88.224,60.53438
9.39,-11.37535,1.090152,0,0,0,0,88.151,60.0175
9.49,-11.33907,1.082842,0,0,0,0,88.089,58.38951
9.59,-11.41562,1.156255,0,0,0,0,88.034,57.26961
9.69,-11.26217,1.064453,0,0,0,0,87.968,56.07077
9.79,-11.14579,0.9969749,0,0,0,0,87.905,55.07885
9.89,-11.01837,0.9187387,0,0,0,0,87.844,53.84505
9.99,-10.96786,0.8968803,0,0,0,0,87.785,52.61345
10.09,-10.82533,0.8020141,0,0,0,0,87.725,51.63886
10.19,-10.75333,0.7599349,0,0,0,0,87.675,50.3124
10.29,-10.70575,0.7361373,0,0,0,0,87.613,49.42455
10.39,-10.66902,0.7204392,0,0,0,0,87.556,48.51583
10.49,-10.64621,0.7159404,0,0,0,0,87.504,47.33852
10.59,-10.67104,0.7526036,0,0,0,0,87.454,46.64511
10.69,-10.76389,0.8511481,0,0,0,0,87.406,45.30709
10.79,-10.66577,0.7811291,0,0,0,0,87.351,44.425
10.89,-10.57747,0.7170672,0,0,0,0,87.309,42.89441
10.99,-10.51476,0.6743131,0,0,0,0,87.26,41.66024
11.09,-10.47533,0.6521366,0,0,0,0,87.208,41.17723
11.19,-10.44702,0.6399645,0,0,0,0,87.171,39.89248
11.29,-10.41899,0.6274789,0,0,0,0,87.123,39.0266
11.39,-10.4134,0.6378477,0,0,0,0,87.075,37.95531
11.49,-10.38874,0.628318,0,0,0,0,87.041,36.80969
11.59,-10.42408,0.6844579,0,0,0,0,86.996,35.92402
11.69,-10.36103,0.6322441,0,0,0,0,86.962,34.87926
11.79,-10.31514,0.5970525,0,0,0,0,86.923,33.76782
11.89,-10.2849,0.5785937,0,0,0,0,86.889,32.49294
11.99,-10.26078,0.5665893,0,0,0,0,86.855,31.02656
12.09,-10.23922,0.5571237,0,0,0,0,86.813,30.53193
12.19,-10.219,0.5488248,0,0,0,0,86.779,29.58808
12.29,-10.19955,0.5410425,0,0,0,0,86.746,28.83798
12.39,-10.18069,0.5335605,0,0,0,0,86.718,27.70893
12.49,-10.16234,0.5263021,0,0,0,0,86.685,26.18928
12.59,-10.14446,0.5192413,0,0,0,0,86.659,25.58407
12.69,-10.12704,0.5123721,0,0,0,0,86.629,24.82214
12.79,-10.20096,0.6555143,0,0,0,0,86.604,24.38311
12.89,-10.1615,0.6161309,0,0,0,0,86.578,22.50778
12.99,-10.10188,0.5369388,0,0,0,0,86.55,21.36508
13.09,-10.07037,0.5032036,0,0,0,0,86.527,20.61092
13.19,-10.04934,0.4868554,0,0,0,0,86.515,18.4441
13.29,-10.03238,0.4772753,0,0,0,0,86.487,18.01644
13.39,-10.01711,0.470382,0,0,0,0,86.469,17.59743
13.49,-10.00267,0.4646434,0,0,0,0,86.448,17.19121
13.59,-9.98874,0.4594821,0,0,0,0,86.432,15.62076
13.69,-9.975197,0.4546817,0,0,0,0,86.414,14.60113
13.79,-9.961985,0.4501629,0,0,0,0,86.399,13.10021
13.89,-9.949074,0.4458983,0,0,0,0,86.383,12.49064
13.99,-9.936442,0.44188,0,0,0,0,86.374,11.65096
14.09,-9.924079,0.4381347,0,0,0,0,86.362,10.39399
14.19,-9.9138,0.4420105,0,0,0,0,86.344,9.421951
14.29,-9.953482,0.6695672,0,0,0,0,86.333,8.543117
14.39,-9.959821,0.7883088,0,0,0,0,86.329,7.151285
14.49,-9.946536,0.8291441,0,0,0,0,86.326,6.143871
14.59,-9.926777,0.8405779,0,0,0,0,86.321,5.061151
14.69,-9.905063,0.8411522,0,0,0,0,86.301,4.397519
14.79,-9.882911,0.8379412,0,0,0,0,86.304,3.347579
14.89,-9.860803,0.8336366,0,0,0,0,86.299,2.603963
14.99,-9.838868,0.8292704,0,0,0,0,86.302,1.680668
15.09,-9.817118,0.8252353,0,0,0,0,86.296,1.241968
