# Time (s),Vertical acceleration (m/s²),Lateral acceleration (m/s²),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Air temperature (°C),Air pressure (kPa)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-9.53074,0.833831,0,0,0,0,98.7696
0.004,-9.13453,0.799168,0,0,0,0,98.7696
0.006,4.42144,0.386826,0,0,0,0,98.7696
0.008,31.1391,2.72432,0,0,0,0,98.7696
0.01,57.8594,5.06204,0,0,0,0,98.7696
0.012,81.2789,7.11098,0,0,0,0,98.7696
0.014,84.8674,7.42494,0,0,0,0,98.7695
0.016,85.1502,7.44968,0,0,0,0,98.7695
0.018,85.433,7.47442,0,0,0,0,98.7695
0.02,85.7158,7.49916,0,0,0,0,98.7695
0.022,85.9986,7.5239,0,0,0,0,98.7695
0.024,86.2815,7.54865,0,0,0,0,98.7694
0.026,86.5644,7.5734,0,0,0,0,98.7694
0.028,86.8473,7.59815,0,0,0,0,98.7694
0.03,87.1302,7.6229,0,0,0,0,98.7693
# Event LIFTOFF occurred at t=0.03 seconds
0.032,87.4132,7.64766,0,0,0,0,98.7693
0.034,87.6961,7.67242,0,0,0,0,98.7692
0.036,87.9791,7.69718,0,0,0,0,98.7692
0.038,88.2621,7.72194,0,0,0,0,98.7691
0.04,88.5452,7.7467,0,0,0,0,98.769
0.042,88.6451,7.75544,0,0,0,0,98.769
0.044,88.5621,7.74818,0,0,0,0,98.7689
0.046,88.479,7.74091,0,0,0,0,98.7688
0.048,88.3959,7.73364,0,0,0,0,98.7687
0.05,88.3127,7.72636,0,0,0,0,98.7687
0.052,88.2294,7.71907,0,0,0,0,98.7686
0.054,88.1461,7.71179,0,0,0,0,98.7685
0.056,88.0628,7.70449,0,0,0,0,98.7684
0.058,87.9794,7.6972,0,0,0,0,98.7683
0.06,87.8959,7.68989,0,0,0,0,98.7682
0.062,87.8124,7.68259,0,0,0,0,98.7681
0.064,87.7288,7.67528,0,0,0,0,98.768
0.066,87.6452,7.66796,0,0,0,0,98.7678
0.068,87.5615,7.66064,0,0,0,0,98.7677
0.07,87.4778,7.65332,0,0,0,0,98.7676
0.072,87.3941,7.64599,0,0,0,0,98.7675
0.074,87.3102,7.63866,0,0,0,0,98.7673
0.076,87.2264,7.63132,0,0,0,0,98.7672
0.078,87.1425,7.62398,0,0,0,0,98.7671
0.08,87.0585,7.61663,0,0,0,0,98.7669
0.082,86.9745,7.60929,0,0,0,0,98.7668
0.084,86.8905,7.60193,0,0,0,0,98.7666
0.086,86.8064,7.59458,0,0,0,0,98.7665
0.088,86.7223,7.58722,0,0,0,0,98.7663
0.09,86.6381,7.57985,0,0,0,0,98.7661
0.092,86.5539,7.57249,0,0,0,0,98.766
0.094,86.4697,7.56511,0,0,0,0,98.7658
0.096,86.3854,7.55774,0,0,0,0,98.7656
0.098,86.301,7.55036,0,0,0,0,98.7654
0.1,86.2167,7.54298,0,0,0,0,98.7652
0.102,86.1323,7.5356,0,0,0,0,98.765
0.104,86.0478,7.52821,0,0,0,0,98.7649
0.106,85.9633,7.52082,0,0,0,0,98.7647
0.108,85.8788,7.51342,0,0,0,0,98.7645
0.11,85.7942,7.50602,0,0,0,0,98.7642
0.112,85.7096,7.49862,0,0,0,0,98.764
0.114,85.625,7.49122,0,0,0,0,98.7638
0.116,85.5403,7.48381,0,0,0,0,98.7636
0.118,85.4556,7.4764,0,0,0,0,98.7634
0.12,85.3709,7.46899,0,0,0,0,98.7632
0.122,85.2861,7.46157,0,0,0,0,98.7629
0.124,85.2013,7.45415,0,0,0,0,98.7627
0.126,85.1165,7.44672,0,0,0,0,98.7625
0.128,85.0316,7.4393,0,0,0,0,98.7622
0.13,84.9467,7.43187,0,0,0,0,98.762
0.132,84.8617,7.42444,0,0,0,0,98.7617
0.134,84.7767,7.417,0,0,0,0,98.7615
0.136,84.6917,7.40956,0,0,0,0,98.7612
0.138,84.6066,7.40212,0,0,0,0,98.7609
0.14,84.5216,7.39468,0,0,0,0,98.7607
0.142,84.4365,7.38723,0,0,0,0,98.7604
0.144,84.3513,7.37978,0,0,0,0,98.7601
0.146,84.2661,7.37233,0,0,0,0,98.7599
0.148,84.1809,7.36488,0,0,0,0,98.7596
0.15,84.0957,7.35742,0,0,0,0,98.7593
0.152,84.0104,7.34996,0,0,0,0,98.759
0.154,83.9251,7.34249,0,0,0,0,98.7587
0.156,83.8397,7.33503,0,0,0,0,98.7584
0.158,83.7544,7.32756,0,0,0,0,98.7581
0.16,83.6689,7.32008,0,0,0,0,98.7578
0.162,83.5835,7.31261,0,0,0,0,98.7575
0.164,83.498,7.30513,0,0,0,0,98.7572
0.166,83.4125,7.29765,0,0,0,0,98.7569
0.168,83.327,7.29017,0,0,0,0,98.7565
0.17,83.2414,7.28268,0,0,0,0,98.7562
0.172,83.1558,7.27519,0,0,0,0,98.7559
0.174,83.0702,7.2677,0,0,0,0,98.7556
0.176,82.9846,7.26021,0,0,0,0,98.7552
0.178,82.8989,7.25271,0,0,0,0,98.7549
0.18,82.8132,7.24521,0,0,0,0,98.7545
0.182,82.7274,7.23771,0,0,0,0,98.7542
0.184,82.6416,7.23021,0,0,0,0,98.7538
0.186,82.5558,7.2227,0,0,0,0,98.7535
0.188,82.47,7.21519,0,0,0,0,98.7531
0.19,82.3841,7.20768,0,0,0,0,98.7528
0.192,82.2982,7.20016,0,0,0,0,98.7524
0.194,82.2123,7.19264,0,0,0,0,98.752
0.196,82.1527,7.18743,0,0,0,0,98.7516
0.198,82.2515,7.19607,0,0,0,0,98.7513
0.2,82.3767,7.20703,0,0,0,0,98.7509
0.202,82.502,7.21799,0,0,0,0,98.7505
0.204,82.6274,7.22896,0,0,0,0,98.7501
0.206,82.7528,7.23993,0,0,0,0,98.7497
0.208,82.8782,7.2509,0,0,0,0,98.7493
0.21,83.0036,7.26187,0,0,0,0,98.7489
0.212,83.129,7.27285,0,0,0,0,98.7485
0.214,83.2544,7.28382,0,0,0,0,98.7481
0.217,83.4732,6.60997,0,0,0,0,98.7475
0.2215,83.7101,6.64165,0,0,0,0,98.7465
0.22825,84.0655,6.69156,0,0,0,0,98.7451
0.23825,84.5946,6.77121,0,0,0,0,98.7428
0.24825,85.2205,6.86627,0,0,0,0,98.7405
0.25825,85.4119,6.89999,0,0,0,0,98.738
0.26825,85.0219,6.88364,0,0,0,0,98.7355
0.27825,84.628,6.87468,0,0,0,0,98.7328
0.28825,84.233,6.8736,0,0,0,0,98.7301
0.29825,83.8504,6.88181,0,0,0,0,98.7272
0.30825,83.8273,6.90664,0,0,0,0,98.7243
0.31825,83.9639,6.94935,0,0,0,0,98.7212
0.32825,84.0997,7.00105,0,0,0,0,98.7181
0.33825,84.2346,7.0622,0,0,0,0,98.7149
0.34825,84.3685,7.13327,0,0,0,0,98.7115
0.35825,84.5003,7.23814,0,0,0,0,98.7081
0.36825,84.6307,7.35916,0,0,0,0,98.7045
0.37825,84.6136,7.47756,0,0,0,0,98.7009
0.38825,84.0461,7.55357,0,0,0,0,98.6972
0.39825,83.4242,7.63462,0,0,0,0,98.6933
0.40825,82.8029,7.6853,0,0,0,0,98.6894
0.41825,82.1976,7.73876,0,0,0,0,98.6854
0.42825,82.0529,7.85036,0,0,0,0,98.6813
0.43825,82.1129,7.99556,0,0,0,0,98.6771
0.44825,82.1713,8.15359,0,0,0,0,98.6727
0.45825,82.2247,8.37596,0,0,0,0,98.6683
0.46825,82.2753,8.62313,0,0,0,0,98.6638
0.47825,82.3238,8.88432,0,0,0,0,98.6592
0.48825,82.3699,9.15949,0,0,0,0,98.6545
0.49825,82.4136,9.44854,0,0,0,0,98.6497
0.50825,82.4556,9.74059,0,0,0,0,98.6448
0.51825,82.4951,10.044,0,0,0,0,98.6398
0.52825,82.5318,10.3611,0,0,0,0,98.6348
0.53825,82.5657,10.6915,0,0,0,0,98.6296
0.54825,82.5966,11.0351,0,0,0,0,98.6243
0.55825,82.6269,11.3649,0,0,0,0,98.6189
0.56825,82.6547,11.7018,0,0,0,0,98.6135
0.57825,82.6794,12.0514,0,0,0,0,98.6079
0.58825,82.7009,12.4135,0,0,0,0,98.6022
0.59825,82.7189,12.7879,0,0,0,0,98.5965
0.60825,82.7049,13.1605,0,0,0,0,98.5906
0.61825,82.6316,13.5339,0,0,0,0,98.5846
0.62825,82.5533,13.9179,0,0,0,0,98.5786
0.63825,82.4712,14.3126,0,0,0,0,98.5724
0.64825,82.3854,14.7174,0,0,0,0,98.5662
0.65825,82.2926,15.1544,0,0,0,0,98.5598
0.66825,82.1949,15.605,0,0,0,0,98.5534
0.67825,82.093,16.0637,0,0,0,0,98.5469
0.68825,81.9869,16.5294,0,0,0,0,98.5402
0.69825,81.8767,17.0012,0,0,0,0,98.5335
0.70825,81.769,17.4402,0,0,0,0,98.5267
0.71825,81.6591,17.8758,0,0,0,0,98.5198
