# 15mph_URRG (Up to date)
# 656 data points written for 9 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (41.2 m/s)
#
# Time (s),Altitude (m),Vertical acceleration (m/s²),Lateral acceleration (m/s²),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Air temperature (°C),Air pressure (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,7.474e-4,14.952,1.308,0,0,0,13.238,981.466
0.02,0.006,84.508,7.393,0,0,0,13.238,981.465
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.021,86.583,7.575,0,0,0,13.238,981.464
0.04,0.044,87.998,7.699,0,0,0,13.238,981.461
0.05,0.076,88.498,7.743,0,0,0,13.238,981.457
0.06,0.116,88.081,7.706,0,0,0,13.238,981.453
0.07,0.166,87.663,7.67,0,0,0,13.237,981.447
0.08,0.224,87.244,7.633,0,0,0,13.237,981.44
0.09,0.291,86.824,7.596,0,0,0,13.237,981.432
0.1,0.366,86.403,7.559,0,0,0,13.236,981.423
0.11,0.45,85.98,7.522,0,0,0,13.236,981.413
0.12,0.543,85.557,7.485,0,0,0,13.235,981.403
0.13,0.644,85.133,7.448,0,0,0,13.234,981.391
0.14,0.754,84.707,7.411,0,0,0,13.234,981.378
0.15,0.872,84.281,7.374,0,0,0,13.233,981.364
0.16,0.999,83.854,7.336,0,0,0,13.232,981.349
0.17,1.134,83.427,7.299,0,0,0,13.231,981.333
0.18,1.277,82.998,7.261,0,0,0,13.23,981.316
0.19,1.429,82.569,7.224,0,0,0,13.229,981.299
0.2,1.589,82.271,7.198,0,0,0,13.228,981.28
0.21,1.757,82.764,7.241,0,0,0,13.227,981.26
# Event LAUNCHROD occurred at t=0.22 seconds
0.22,1.933,83.39,7.296,0,0,0,13.226,981.24
0.235,2.213,84.286,6.168,0,0.572,2.142e-5,13.224,981.207
0.258,2.669,85.316,6.184,0,1.616,-6.566e-5,13.221,981.153
0.291,3.434,84.67,6.153,0,3.382,6.027e-5,13.216,981.063
0.341,4.744,84.105,6.517,8.483e-7,6.38,-4.555e-6,13.208,980.91
0.391,6.264,84.454,7.259,4.585e-7,9.667,3.526e-4,13.198,980.732
0.441,7.993,82.472,7.829,-1.465e-6,13.278,-3.818e-5,13.187,980.529
0.491,9.927,82.303,8.958,-3.755e-6,17.332,6.403e-4,13.174,980.302
0.539,11.966,82.444,10.915,-5.073e-7,21.202,4.821e-4,13.161,980.063
0.589,14.304,82.495,13.193,3.724e-6,24.592,0.003,13.146,979.789
0.639,16.847,82.308,15.719,3.228e-5,27.448,0.004,13.129,979.49
0.689,19.597,81.734,18.24,-1.115e-5,29.583,0.003,13.111,979.168
0.739,22.55,80.965,21.211,-4.22e-5,30.971,0.013,13.092,978.821
0.789,25.706,79.999,24.477,-1.792e-5,-30.752,0.013,13.071,978.451
0.839,29.061,78.789,27.66,4.084e-5,-27.649,0.002,13.05,978.058
0.888,32.576,77.466,30.448,-3.614e-5,-22.607,0.005,13.027,977.646
0.921,34.985,76.572,31.973,7.925e-6,-18.15,0.002,13.011,977.363
0.948,37.043,75.944,32.978,5.98e-6,-13.886,0.001,12.998,977.122
0.972,38.925,75.53,33.479,-6.923e-7,-9.789,0.004,12.985,976.901
0.995,40.776,75.234,33.706,-2.06e-6,-5.761,0.003,12.973,976.684
1.018,42.646,74.976,33.85,8.914e-7,-1.72,0.002,12.961,976.465
1.04,44.506,74.8,33.792,-3.497e-7,2.32,0.002,12.949,976.246
1.062,46.38,74.722,33.486,2.171e-6,6.295,0.003,12.937,976.027
1.084,48.329,74.757,32.925,-1.245e-6,10.201,3.136e-4,12.924,975.798
1.108,50.43,74.937,32.049,-4.882e-6,14.016,-5.006e-4,12.911,975.552
1.135,52.836,75.257,30.711,3.874e-6,17.607,0.004,12.895,975.269
1.168,55.963,75.731,28.755,2.513e-6,20.785,0.002,12.875,974.903
1.218,60.759,76.485,25.446,-1.612e-5,-22.348,-0.01,12.844,974.34
1.268,65.747,77.074,22.036,1.366e-5,-18.798,-0.004,12.811,973.755
1.304,69.432,77.08,20.059,1.847e-6,-14.074,7.903e-4,12.787,973.323
1.33,72.138,76.892,18.959,6.926e-6,-9.707,-0.001,12.77,973.006
1.352,74.514,76.683,18.331,-1.779e-6,-5.537,0.001,12.754,972.727
1.373,76.753,76.45,17.959,1.777e-6,-1.418,-4.071e-4,12.74,972.464
1.392,78.917,76.166,17.889,0,2.615,0.002,12.726,972.211
1.412,81.093,75.829,18.077,3.851e-7,6.565,0.003,12.711,971.955
1.432,83.36,75.423,18.542,5.091e-6,10.446,0.006,12.697,971.69
1.453,85.827,74.905,19.386,1.119e-5,14.199,0.008,12.681,971.4
1.478,88.754,74.147,20.988,9.01e-6,17.465,0.014,12.662,971.057
1.516,93.231,72.974,23.482,-2.859e-5,19.311,0.093,12.632,970.532
1.566,99.34,71.376,26.558,3.141e-5,-17.184,0.013,12.593,969.815
1.604,104.149,70.049,28.621,2.926e-5,-11.582,0.003,12.562,969.251
1.626,106.959,69.424,29.136,4.327e-6,-7.353,0.006,12.543,968.922
1.647,109.568,69.056,29.257,9.976e-6,-3.295,0.003,12.526,968.616
1.666,112.153,68.702,29.408,6.958e-6,0.796,0.004,12.51,968.313
1.685,114.626,68.45,29.306,6.244e-6,4.871,0.002,12.493,968.023
1.704,117.081,68.34,28.808,1.822e-6,8.806,0.004,12.477,967.735
1.723,119.719,68.45,27.591,7.687e-6,12.344,0.004,12.46,967.425
1.749,123.19,68.706,25.678,9.402e-6,15.38,0.005,12.438,967.018
1.787,128.481,68.739,22.93,-8.816e-6,-16.451,0.022,12.403,966.398
1.837,135.528,68.415,19.443,-1.624e-5,-12.095,-9.699e-4,12.358,965.571
1.864,139.315,67.709,18.021,1.439e-5,-7.46,-0.004,12.333,965.127
1.885,142.393,67.335,17.638,3.326e-6,-3.406,-5.215e-4,12.313,964.766
1.905,145.417,67.191,17.691,2.287e-6,0.513,-0.004,12.293,964.411
1.927,148.578,66.986,17.96,-1.604e-6,4.419,-0.007,12.273,964.04
1.95,152.016,66.655,18.669,2.308e-6,8.091,0.004,12.25,963.637
1.978,156.267,66.17,19.804,3.183e-5,11.437,0.011,12.223,963.139
2.02,162.739,64.432,22.021,3.391e-5,-13.273,0.064,12.181,962.38
2.07,170.554,58.929,23.127,6.831e-5,-8.614,-1.324e-4,12.13,961.463
2.099,175.176,54.304,22.497,5.171e-6,-4.557,0.005,12.1,960.921
2.125,179.278,49.453,21.438,3.602e-6,-0.242,0.009,12.073,960.44
2.148,182.938,44.591,19.805,0,3.752,0.01,12.049,960.011
2.171,186.736,40.338,17.709,1.467e-5,7.367,0.015,12.025,959.565
2.201,191.587,36.729,15.09,3.708e-5,10.3,0.016,11.993,958.996
2.245,198.918,32.031,10.775,5.09e-6,-9.455,0.003,11.946,958.137
2.289,206.174,26.361,7.422,9.732e-6,-3.645,0.003,11.898,957.285
2.312,210.004,23.049,6.233,1.723e-6,0.544,0.003,11.873,956.836
2.334,213.719,20.78,5.982,1.921e-6,4.346,0.013,11.849,956.401
2.36,217.935,18.298,6.094,-1.665e-5,7.761,0.006,11.822,955.906
2.394,223.721,15.068,6.587,-5.653e-5,10.51,0.034,11.784,955.227
2.444,232.147,10.476,7.694,-7.877e-5,-8.897,0.034,11.73,954.257
2.485,239.05,6.071,7.314,-8.92e-6,-4.049,0.003,11.685,953.486
2.513,243.799,2.99,6.231,-8.034e-6,-0.091,0.009,11.654,952.955
2.544,248.985,0.576,4.664,-7.571e-6,3.225,0.017,11.62,952.375
2.59,256.764,-2.457,2.417,-3.282e-5,5.149,0.078,11.57,951.507
2.64,265.206,-5.7,0.189,-1.332e-5,-3.275,0.019,11.515,950.563
2.684,272.74,-8.862,2.145,-1.328e-5,1.896,0.008,11.466,949.721
2.712,277.391,-11.39,2.659,1.15e-5,6.039,0.015,11.435,949.202
2.744,282.733,-13.2,1.933,1.312e-5,8.739,0.014,11.401,948.605
2.792,290.72,-15.202,0.982,0,-8.472,0.02,11.349,947.713
2.842,299.043,-16.299,0.032,5.01e-5,-4.161,-9.329e-4,11.295,946.783
2.873,304.252,-16.838,0.153,1.115e-5,-0.056,3.036e-4,11.261,946.201
2.905,309.578,-17.038,0.862,4.902e-6,3.356,-0.005,11.226,945.606
2.952,317.232,-17.13,2.166,4.484e-5,5.492,-0.034,11.176,944.751
# Event BURNOUT occurred at t=3 seconds
3,325.115,-17.274,3.76,-2.256e-5,-3.601,0.006,11.125,943.87
3.046,332.634,-17.447,4.083,1.321e-5,0.627,-0.009,11.076,943.03
3.086,339.118,-17.438,3.835,3.125e-6,4.371,-0.009,11.034,942.305
3.135,346.935,-17.535,3.219,-3.579e-5,7.237,0.008,10.983,941.432
3.185,354.961,-17.872,1.852,2.519e-5,-7.501,-0.006,10.931,940.535
3.235,362.942,-18.113,0.816,-1.207e-5,-3.037,-0.005,10.879,939.644
3.268,368.29,-18.094,0.66,-2.945e-6,1.086,0.003,10.845,939.046
3.301,373.464,-17.886,1.058,-2.994e-5,4.683,-0.007,10.811,938.468
3.343,380.161,-17.552,1.741,-3.16e-5,7.665,-0.019,10.767,937.72
3.393,388,-17.007,3.106,5.702e-5,-7.538,-0.032,10.716,936.844
3.443,395.797,-16.639,3.973,-3.497e-6,-3.523,-0.014,10.666,935.973
3.48,401.473,-16.512,4.161,-1.221e-5,0.682,0.001,10.629,935.339
3.514,406.694,-16.553,3.805,2.482e-6,4.418,-0.009,10.595,934.755
3.555,413.092,-16.723,2.997,1.418e-5,7.188,-0.025,10.553,934.041
3.605,420.754,-16.833,2.413,2.21e-5,8.686,-0.066,10.504,933.185
3.655,428.375,-17.181,1.083,-5.209e-5,-6.272,0.006,10.454,932.333
3.702,435.387,-17.105,1.119,-2.03e-5,-2.653,-2.751e-4,10.408,931.55
3.752,442.925,-16.971,1.244,-2.586e-5,1.307,0.01,10.359,930.708
3.802,450.42,-16.53,2.314,-3.685e-5,-2.92,-0.12,10.311,929.87
3.852,457.874,-16.222,2.988,-1.016e-6,-1.617,-0.029,10.262,929.037
3.902,465.288,-16.242,2.615,-2.788e-6,0.123,-0.027,10.214,928.209
3.952,472.661,-16.026,3.053,-9.256e-7,2.479,-0.027,10.166,927.385
4.002,479.993,-16.189,2.278,1.54e-5,3.871,-0.155,10.119,926.566
4.052,487.285,-16.291,1.721,-1.383e-5,-3.226,-0.02,10.071,925.751
4.102,494.537,-16.058,2.227,-2.219e-5,2.759,0.118,10.024,924.941
4.152,501.748,-16.21,1.507,-4.466e-6,-1.521,0.004,9.977,924.135
4.202,508.919,-16.214,1.231,-1.76e-6,1.078,0.013,9.931,923.334
4.252,516.049,-15.957,1.737,-3.332e-5,3.119,0.007,9.884,922.538
4.302,523.14,-15.635,2.455,-1.268e-5,-2.98,-0.001,9.838,921.745
4.352,530.191,-15.526,2.519,-2.147e-6,-1.573,-0.01,9.792,920.958
4.402,537.204,-15.33,2.896,-4.762e-6,0.889,0.003,9.747,920.174
4.452,544.178,-15.386,2.484,-6.938e-6,3.123,0.005,9.701,919.395
4.502,551.114,-15.425,2.156,1.221e-5,4.347,0.014,9.656,918.62
4.552,558.011,-15.692,1.126,-1.11e-5,-3.078,0.003,9.611,917.85
4.602,564.869,-15.655,1.024,-6.228e-6,-0.2,-0.007,9.567,917.083
4.652,571.687,-15.324,1.799,-1.372e-5,1.469,0.001,9.523,916.321
4.702,578.468,-15.025,2.486,-1.113e-5,-0.674,-0.015,9.478,915.564
4.752,585.211,-14.969,2.434,-1.96e-6,1.093,-0.005,9.435,914.811
4.802,591.916,-14.84,2.635,-4.493e-6,3.362,-0.019,9.391,914.061
4.852,598.585,-14.893,2.286,-1.071e-5,5.23,-0.014,9.348,913.316
4.902,605.216,-14.957,1.934,-4.843e-6,6.027,-0.01,9.305,912.575
4.952,611.81,-15.08,1.419,1.867e-5,-5.297,-0.006,9.262,911.839
5.002,618.366,-15.269,0.71,-2.663e-5,-2.488,0.011,9.219,911.106
5.052,624.884,-15.113,0.963,-1.906e-5,0.857,-0.003,9.177,910.378
5.102,631.364,-14.826,1.567,-1.961e-5,2.749,0.009,9.135,909.654
5.152,637.807,-14.587,2.039,-1.031e-5,-2.794,-0.014,9.093,908.934
5.202,644.213,-14.451,2.225,-6.474e-6,-1.674,-0.011,9.051,908.218
5.252,650.584,-14.251,2.626,-1.769e-5,0.587,-1.048e-4,9.01,907.507
5.302,656.919,-14.071,2.996,-1.965e-5,4.184,4.362e-4,8.969,906.799
5.351,663.153,-14.381,1.922,8.231e-6,6.326,-0.021,8.928,906.102
5.401,669.417,-14.407,1.724,-1.714e-5,-6.693,0.183,8.887,905.403
5.451,675.645,-14.604,1.042,1.423e-5,-5.377,0.001,8.847,904.707
5.501,681.837,-14.771,0.444,-1.423e-5,-2.011,0.012,8.807,904.015
5.548,687.659,-14.547,0.896,-1.451e-5,1.248,0.012,8.769,903.364
5.598,693.78,-14.335,1.279,-1.957e-5,3.293,0.017,8.729,902.681
5.648,699.864,-14.166,1.541,-1.427e-6,4.191,0.073,8.689,902.001
5.698,705.913,-14.057,1.637,-5.541e-6,-4.312,0.663,8.65,901.325
5.748,711.927,-13.809,2.155,-9.721e-6,-3.363,0.014,8.611,900.653
5.798,717.906,-13.633,2.487,-6.831e-6,-0.9,0.014,8.572,899.985
5.848,723.851,-13.558,2.545,-9.606e-6,2.255,0.006,8.533,899.321
5.898,729.763,-13.591,2.305,1.173e-5,5.122,0.023,8.495,898.665
5.948,735.64,-13.524,2.379,-3.5e-5,7.722,0.016,8.457,898.039
5.998,741.484,-13.807,1.48,-3.731e-6,-8.875,0.223,8.419,897.418
6.048,747.293,-13.923,1.085,-1.78e-6,-7.858,0.033,8.381,896.8
6.098,753.067,-14.073,0.6,2.009e-5,-5.393,0.009,8.344,896.186
6.148,758.806,-14.178,0.212,3.653e-6,-1.525,0.007,8.306,895.575
6.194,763.998,-13.968,0.617,-4.139e-6,1.928,0.018,8.273,895.023
6.244,769.67,-13.83,0.796,-9.217e-6,4.532,0.008,8.236,894.42
6.294,775.307,-13.546,1.36,-2.619e-5,6.039,0.059,8.199,893.82
6.344,780.911,-13.279,1.902,1.603e-5,-5.445,0.006,8.163,893.224
6.394,786.481,-12.98,2.573,1.138e-5,-2.867,-8.212e-4,8.126,892.631
6.444,792.019,-12.803,2.935,2.653e-6,1.473,9.964e-5,8.09,892.042
6.485,796.577,-12.748,2.986,2.555e-6,5.586,-0.004,8.061,891.557
6.526,801.007,-12.844,2.626,2.495e-5,9.269,-0.001,8.032,891.086
6.576,806.46,-13.132,1.761,5.839e-6,11.763,-0.01,7.997,890.506
6.626,811.881,-13.407,0.994,-2.832e-5,-11.122,0.006,7.961,889.93
6.676,817.268,-13.637,0.38,3.494e-5,-8.88,-0.002,7.926,889.357
6.726,822.621,-13.797,0.07,-3.014e-5,-4.491,0.011,7.891,888.787
6.766,826.919,-13.742,0.021,-8.475e-7,-0.342,0.004,7.864,888.33
6.808,831.393,-13.478,0.496,3.388e-6,2.938,-4.015e-4,7.834,887.854
6.858,836.655,-13.095,1.28,1.312e-5,4.615,-0.002,7.8,887.294
6.908,841.885,-12.807,1.853,-6.398e-6,-3.949,0.002,7.766,886.738
6.958,847.082,-12.731,1.907,-4.847e-6,-2.307,9.207e-4,7.732,886.185
7.008,852.248,-12.731,1.778,-1.652e-6,-0.717,0.002,7.699,885.636
7.058,857.382,-12.733,1.653,-7.463e-7,0.557,-0.003,7.666,885.09
