# Time (s),Vertical acceleration (m/s²),Lateral acceleration (m/s²),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Air temperature (°C),Air pressure (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-3.9147168,0.2737437,0,0,0,5.9780001,857.4736005
0.004,7.7443816,0.5415399,0,0,0,5.9779999,857.473598
0.006,19.4048444,1.3569189,0,0,0,5.9779994,857.4735906
0.008,31.0666709,2.1723933,0,0,0,5.9779983,857.4735724
0.01,42.7298604,2.9879629,0,0,0,5.9779963,857.4735386
0.012,54.394412,3.8036278,0,0,0,5.9779929,857.473484
0.014,66.0603236,4.6193878,0,0,0,5.977988,857.4734039
0.016,77.7275925,5.4352427,0,0,0,5.9779813,857.4732931
0.018,89.3962147,6.2511923,0,0,0,5.9779723,857.4731469
0.02,101.0661851,7.0672361,0,0,0,5.9779609,857.4729601
0.022,111.1987294,7.7757726,0,0,0,5.9779467,857.4727281
0.024,112.0830027,7.8376071,0,0,0,5.9779297,857.4724486
0.026,111.4250246,7.7915967,0,0,0,5.9779097,857.4721216
0.028,110.7668754,7.7455745,0,0,0,5.9778868,857.4717474
# Event LIFTOFF occurred at t=0.03 seconds
0.03,110.1085546,7.6995402,0,0,0,5.9778611,857.4713261
0.032,109.4500618,7.6534939,0,0,0,5.9778325,857.4708581
0.034,108.7913971,7.6074356,0,0,0,5.977801,857.4703437
0.036,108.1325604,7.5613652,0,0,0,5.9777668,857.4697832
0.038,107.4735521,7.5152829,0,0,0,5.9777297,857.4691768
0.04,106.8143725,7.4691885,0,0,0,5.9776899,857.4685248
0.042,106.1550221,7.4230823,0,0,0,5.9776473,857.4678275
0.044,105.4955012,7.3769641,0,0,0,5.9776019,857.4670852
0.046,104.8358106,7.330834,0,0,0,5.9775538,857.4662981
0.048,104.1759508,7.2846921,0,0,0,5.977503,857.4654666
0.05,103.5916213,7.2438318,0,0,0,5.9774495,857.4645909
0.052,103.4629299,7.2348328,0,0,0,5.9773933,857.4636711
0.054,103.4102139,7.2311466,0,0,0,5.9773344,857.4627073
0.056,103.3574656,7.2274581,0,0,0,5.9772728,857.4616995
0.058,103.3046853,7.2237673,0,0,0,5.9772086,857.4606478
0.06,103.2518735,7.2200743,0,0,0,5.9771416,857.4595521
0.062,103.1990306,7.2163792,0,0,0,5.977072,857.4584126
0.064,103.146157,7.2126819,0,0,0,5.9769996,857.4572291
0.066,103.0932531,7.2089825,0,0,0,5.9769246,857.4560017
0.068,103.0403193,7.205281,0,0,0,5.976847,857.4547305
0.07,102.9873562,7.2015775,0,0,0,5.9767666,857.4534155
0.072,102.934364,7.1978719,0,0,0,5.9766836,857.4520566
0.074,102.8813432,7.1941643,0,0,0,5.9765979,857.450654
0.076,102.8282942,7.1904548,0,0,0,5.9765095,857.4492076
0.078,102.7752174,7.1867433,0,0,0,5.9764184,857.4477175
0.08,102.7221131,7.1830299,0,0,0,5.9763247,857.4461836
0.082,102.6689817,7.1793146,0,0,0,5.9762283,857.4446061
0.084,102.6158237,7.1755974,0,0,0,5.9761292,857.4429849
0.086,102.5626392,7.1718784,0,0,0,5.9760275,857.44132
0.088,102.5094288,7.1681575,0,0,0,5.9759231,857.4396116
0.09,102.4561926,7.1644349,0,0,0,5.975816,857.4378595
0.092,102.402931,7.1607105,0,0,0,5.9757063,857.4360638
0.094,102.3496443,7.1569843,0,0,0,5.9755939,857.4342246
0.096,102.2963329,7.1532564,0,0,0,5.9754789,857.4323418
0.098,102.2429968,7.1495268,0,0,0,5.9753612,857.4304156
0.1,102.1896366,7.1457955,0,0,0,5.9752408,857.4284458
0.102,102.1362523,7.1420625,0,0,0,5.9751178,857.4264326
0.104,102.0828442,7.1383279,0,0,0,5.9749921,857.4243759
0.106,102.0294127,7.1345916,0,0,0,5.9748638,857.4222759
0.108,101.9759579,7.1308536,0,0,0,5.9747328,857.4201324
0.11,101.92248,7.1271141,0,0,0,5.9745992,857.4179455
0.112,101.8828799,7.124345,0,0,0,5.9744629,857.4157153
0.114,101.9261382,7.1273699,0,0,0,5.9743239,857.4134417
0.116,101.9831909,7.1313594,0,0,0,5.9741824,857.4111248
0.118,102.0402443,7.135349,0,0,0,5.9740381,857.4087644
0.12,102.0972986,7.1393386,0,0,0,5.9738912,857.4063607
0.122,102.1543539,7.1433283,0,0,0,5.9737417,857.4039134
0.124,102.2114105,7.1473181,0,0,0,5.9735895,857.4014227
0.126,102.2684683,7.151308,0,0,0,5.9734347,857.3988885
0.128,102.3255276,7.1552979,0,0,0,5.9732771,857.3963108
0.13,102.3825885,7.159288,0,0,0,5.973117,857.3936895
0.132,102.4396511,7.1632782,0,0,0,5.9729541,857.3910247
0.134,102.4967155,7.1672686,0,0,0,5.9727886,857.3883162
0.136,102.5537819,7.171259,0,0,0,5.9726204,857.3855642
0.138,102.6108502,7.1752496,0,0,0,5.9724496,857.3827685
0.14,102.6679207,7.1792404,0,0,0,5.9722761,857.3799291
0.142,102.7249934,7.1832313,0,0,0,5.9720999,857.377046
0.144,102.7820685,7.1872224,0,0,0,5.9719211,857.3741192
0.146,102.8391459,7.1912136,0,0,0,5.9717396,857.3711487
0.148,102.8962258,7.195205,0,0,0,5.9715554,857.3681344
0.15,102.9533083,7.1991966,0,0,0,5.9713685,857.3650763
0.152,103.0104008,7.2031889,0,0,0,5.971179,857.3619744
0.154,103.0674972,7.2071815,0,0,0,5.9709867,857.3588287
0.156,103.1245976,7.2111743,0,0,0,5.9707918,857.3556391
0.158,103.181702,7.2151675,0,0,0,5.9705942,857.3524056
0.16,103.2388106,7.2191609,0,0,0,5.970394,857.3491282
0.162,103.2959234,7.2231546,0,0,0,5.970191,857.3458068
0.164,103.3530405,7.2271486,0,0,0,5.9699854,857.3424415
