# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.0000078,-0.0078298,-3.9147167,0.0078489,3.9242761,-0.0000005,0,0.0000005,180,0.0005475,0.2737437,33,-107,9.7913953,86.0772888,0,0,0,29659.2887309,8106.2636492,20.1875746,0.1117395,NaN,171.0991212,NaN,0.0173306,1002299.7176079,173.3072857,0.0001194,0.4390084,0.0003399,0.3555094,0.0130416,0.0704574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000001,15.748,194.778355,86,0,5.8049191,5.9780001,857.4736005,334.921568,0.002,0.0338389
0.004,0.0000155,0.0154877,7.7443817,0.0155256,7.7632927,0.0000011,0,0.0000011,0,0.001083,0.5415399,33,-107,9.7913953,85.8472251,0,0,0,29657.5523801,8104.5272983,20.1864208,0.1117375,NaN,171.094501,NaN,0.0173427,1003000.781801,519.9218571,0.0001415,0.4389589,0.0004023,0.3554601,0.0130414,0.0704574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000019,15.748,194.778355,86,0,5.8073331,5.9779999,857.473598,334.9215679,0.002,0.0402183
0.006,0.0000853,0.0542957,19.4048445,0.0544283,19.4522292,0.000006,0,0.000006,0,0.0037967,1.3569189,33,-107,9.7913953,85.4649003,0,0,0,29655.8160293,8102.7909475,20.1852669,0.1117354,NaN,171.0898802,NaN,0.0173587,1003926.451446,866.5364286,0.0001838,0.4388937,0.0005217,0.3553951,0.0130412,0.0704574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000067,15.748,194.778355,86,0,5.8097472,5.9779994,857.4735906,334.9215677,0.002,0.0447216
0.008,0.000256,0.1164267,31.0666711,0.116711,31.1425327,0.0000179,0,0.0000179,0,0.0081413,2.1723933,33,-107,9.7913953,84.8540342,0,0,0,29654.0796785,8101.0545967,20.1841129,0.1117333,NaN,171.0852588,NaN,0.0173816,1005250.799916,1213.151,0.0002674,0.4388005,0.000757,0.3553022,0.0130408,0.0704575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000143,15.748,194.778355,86,0,5.8121612,5.9779983,857.4735724,334.921567,0.002,0.0501567
0.01,0.0005743,0.2018833,42.7298607,0.2023763,42.8342027,0.0000402,0,0.0000402,0,0.0141171,2.9879629,33,-107,9.7913953,84.016289,0,0,0,29652.3433276,8099.3182458,20.1829588,0.1117312,NaN,171.080637,NaN,0.0174136,1007102.0002702,1559.7655714,0.000418,0.4386705,0.001179,0.3551726,0.0130403,0.0704576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000248,15.748,194.778355,86,0,5.8145752,5.9779963,857.4735386,334.9215657,0.002,0.0547113
0.012,0.0010869,0.3106684,54.3944123,0.311427,54.5272379,0.000076,0,0.000076,0,0.0217241,3.8036278,33,-107,9.7913953,82.9542571,0,0,0,29650.6069768,8097.581895,20.1818045,0.1117291,NaN,171.0760145,NaN,0.0174577,1009655.0448891,1906.3801429,0.0006776,0.4384917,0.0019017,0.3549943,0.0130396,0.0704577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000381,15.748,194.778355,86,0,5.8169892,5.9779929,857.473484,334.9215637,0.002,0.0596942
0.014,0.0018403,0.4427846,66.0603239,0.4438659,66.2216365,0.0001287,0,0.0001287,0,0.0309625,4.6193878,33,-107,9.7913953,81.6718234,0,0,0,29648.870626,8095.8455442,20.1806501,0.111727,NaN,171.0713916,NaN,0.0175178,1013130.2348036,2252.9947143,0.0011101,0.4382492,0.0030943,0.3547526,0.0130387,0.0704579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000543,15.748,194.778355,86,0,5.8194033,5.977988,857.4734039,334.9215608,0.002,0.0646422
0.016,0.0028813,0.5982347,77.7275927,0.5996956,77.9173955,0.0002015,0,0.0002015,0,0.0418326,5.4352428,33,-107,9.7913953,80.174595,0,0,0,29647.1342751,8094.1091934,20.1794956,0.1117249,NaN,171.0667681,NaN,0.0175984,1017790.8232667,2599.6092857,0.0018075,0.4379258,0.004992,0.3544302,0.0130375,0.0704581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000734,15.748,194.778355,86,0,5.8218173,5.9779813,857.4732931,334.9215567,0.002,0.0695829
0.018,0.0042566,0.7770214,89.3962146,0.7789188,89.6145111,0.0002976,0,0.0002976,0,0.0543346,6.2511923,33,-107,9.7913953,78.4703647,0,0,0,29645.3979243,8092.3728425,20.1783409,0.1117229,NaN,171.062144,NaN,0.0177047,1023939.5405864,2946.2238571,0.0028956,0.437502,0.0079014,0.3540077,0.013036,0.0704584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000954,15.748,194.778355,86,0,5.8242313,5.9779723,857.4731469,334.9215512,0.002,0.0739021
0.02,0.0060127,0.9791473,101.0661844,0.9815383,101.3129778,0.0004205,0,0.0004205,0,0.0684687,7.0672361,33,-107,9.7913953,76.5695649,0,0,0,29643.6615735,8090.6364917,20.1771862,0.1117208,NaN,171.0575194,NaN,0.0178426,1031913.74092,3292.8384286,0.0045397,0.4369573,0.0121972,0.3534647,0.0130339,0.0704587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0001202,15.748,194.778355,86,0,5.8266454,5.9779609,857.4729601,334.9215443,0.002,0.0781329
