# Time (s),Vertical acceleration (m/s²),Lateral acceleration (m/s²),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Air temperature (°C),Air pressure (kPa),Shenanigans (sqrt_Hz)
0.00,9.8,0,0,0,0,0,98.09351,0.1488798
0.01,14.89057,2.62561,0,0,0,0,98.09351,0.1488798
0.02,83.65114,14.74995,0,0,0,0,98.09344,0.985166
0.03,85.70251,15.11167,0,0,0,0,98.09328,1.841961
0.04,87.1004,15.35815,0,0,0,0,98.09302,2.712737
0.05,87.59339,15.44508,0,0,0,0,98.09266,3.58845
0.06,87.18118,15.37239,0,0,0,0,98.09219,4.460044
0.07,86.76818,15.29957,0,0,0,0,98.09163,5.327511
0.08,86.35458,15.22664,0,0,0,0,98.09096,6.190843
0.09,85.94055,15.15364,0,0,0,0,98.0902,7.050037
0.1,85.52637,15.08061,0,0,0,0,98.08934,7.905087
0.11,85.11311,15.00774,0,0,0,0,98.08838,8.755999
0.12,84.69985,14.93487,0,0,0,0,98.08732,9.602778
0.13,84.28607,14.86191,0,0,0,0,98.08616,10.44542
0.14,83.87139,14.78879,0,0,0,0,98.08491,11.28392
0.15,83.45556,14.71547,0,0,0,0,98.08356,12.11827
0.16,83.03749,14.64175,0,0,0,0,98.08211,12.94844
0.17,82.61868,14.5679,0,0,0,0,98.08057,13.77443
0.18,82.19912,14.49392,0,0,0,0,98.07894,14.59623
0.19,81.77882,14.41981,0,0,0,0,98.07721,15.41383
0.2,81.48793,14.36852,0,0,0,0,98.07538,16.22852
0.21,81.97919,14.45514,0,0,0,0,98.07346,17.04813
0.22,82.60102,14.56479,0,0,0,0,98.07145,17.87396
0.235,83.11517,16.24417,0,0,0,0,98.06825,19.11985
0.2575,84.15206,16.30086,0,0,0,0,98.06304,21.01191
0.29125,83.56369,15.88339,0,0,0,0,98.05431,23.83084
0.34125,83.08482,15.4278,0,0,0,0,98.03938,27.9793
0.39125,83.47855,15.4736,0,0,0,0,98.02204,32.14966
0.44125,81.62487,14.73319,0,0,0,0,98.00233,36.22609
0.49125,81.36643,15.97966,0,0,0,0,97.98026,40.29705
0.54125,81.50627,17.20433,0,0,0,0,97.95585,44.37423
0.59125,81.4366,19.43183,0,0,0,0,97.92908,48.45412
0.64125,81.22191,21.2784,0,0,0,0,97.89997,52.52211
0.69125,80.68219,23.04616,0,0,0,0,97.86851,56.56475
0.74125,80.00733,25.10833,0,0,0,0,97.83474,60.57709
0.79125,79.26602,27.18138,0,0,0,0,97.79866,64.55344
0.84125,78.7772,27.81673,0,0,0,0,97.7603,68.49437
0.89125,78.20832,28.32964,0,0,0,0,97.71967,72.40852
0.94125,77.85947,28.0852,0,0,0,0,97.67679,76.29874
0.99125,77.09737,29.16298,0,0,0,0,97.63168,80.16373
1.04125,76.9495,28.22902,0,0,0,0,97.58435,84.00145
1.09125,76.57527,28.04855,0,0,0,0,97.5348,87.83093
1.14125,75.89858,29.1537,0,0,0,0,97.48348,91.63575
1.19125,75.60292,29.07644,0,0,0,0,97.43089,95.41311
1.24125,75.75195,27.54818,0,0,0,0,97.37618,99.18806
1.29125,75.95231,25.47254,0,0,0,0,97.31935,102.9719
1.34125,75.4682,24.71583,0,0,0,0,97.26039,106.7442
1.39125,75.00118,23.69287,0,0,0,0,97.19932,110.4895
1.429064,74.03166,24.8007,0,0,0,0,97.15174,113.298
1.479064,73.293,24.9572,0,0,0,0,97.08701,116.9592
1.529064,72.29326,25.63994,0,0,0,0,97.02022,120.5887
1.579064,71.16065,26.87241,0,0,0,0,96.95142,124.1577
1.629064,69.8423,28.65995,0,0,0,0,96.88062,127.6705
1.657928,69.17294,28.96833,0,0,0,0,96.83886,129.6665
1.682302,69.28677,27.37369,0,0,0,0,96.80308,131.3497
1.718864,69.50189,25.16212,0,0,0,0,96.74856,133.8826
1.768864,69.47695,22.71685,0,0,0,0,96.67231,137.3454
1.799076,68.81468,21.39205,0,0,0,0,96.62529,139.421
1.820751,68.14404,21.11894,0,0,0,0,96.59113,140.8983
1.841391,67.46896,21.29346,0,0,0,0,96.55827,142.2927
1.862869,66.59459,22.12263,0,0,0,0,96.52373,143.7275
1.889845,65.58614,23.85453,0,0,0,0,96.47985,145.506
1.930311,64.37067,26.71189,0,0,0,0,96.41304,148.1328
1.980311,62.94696,29.70813,0,0,0,0,96.32886,151.3088
2.000857,62.31574,30.58622,0,0,0,0,96.29375,152.5884
2.018422,60.69382,30.29608,0,0,0,0,96.2635,153.6552
2.035218,58.87618,29.52576,0,0,0,0,96.23439,154.6439
2.05243,57.22513,28.37206,0,0,0,0,96.20436,155.6275
2.071557,55.7109,26.43682,0,0,0,0,96.17077,156.6895
2.099131,53.868,23.39064,0,0,0,0,96.12196,158.168
2.140492,48.77996,18.04566,0,0,0,0,96.04793,160.1773
2.168821,42.39779,14.16023,0,0,0,0,95.9967,161.3696
2.187464,38.82092,12.48046,0,0,0,0,95.9628,162.0908
2.204486,36.13796,11.88614,0,0,0,0,95.93171,162.7075
2.222753,33.12435,12.43389,0,0,0,0,95.89823,163.3174
2.250154,29.03432,13.64239,0,0,0,0,95.84778,164.1272
2.291255,23.85932,14.05002,0,0,0,0,95.77169,165.1269
2.32491,20.22055,12.77181,0,0,0,0,95.70906,165.8041
2.361128,17.14144,10.99563,0,0,0,0,95.64141,166.4242
2.411128,13.25344,9.22626,0,0,0,0,95.54765,167.0891
2.461128,9.148104,6.523927,0,0,0,0,95.45357,167.5354
2.511128,5.173852,3.504579,0,0,0,0,95.3593,167.7874
2.547241,1.243261,2.494361,0,0,0,0,95.29115,167.8319
2.597241,-2.087387,0.2009372,0,0,0,0,95.19682,167.7237
2.619944,-5.298706,0.1808064,0,0,0,0,95.15401,167.6061
2.653999,-8.161945,1.86778,0,0,0,0,95.08988,167.343
2.703999,-11.38889,1.461233,0,0,0,0,94.99602,166.7819
2.736492,-14.13017,1.74358,0,0,0,0,94.93629,166.325
2.757215,-15.33963,1.12788,0,0,0,0,94.89829,166.0039
2.779159,-15.59652,0.4603132,0,0,0,0,94.85814,165.6558
2.812075,-15.59133,1.46053,0,0,0,0,94.79805,165.1416
2.861449,-16.22883,0.9628168,0,0,0,0,94.7083,164.338
2.908623,-16.17874,2.890588,0,0,0,0,94.62294,163.5549
2.958623,-15.62076,6.673063,0,0,0,0,94.53292,162.7463
2.973068,-15.61616,8.244599,0,0,0,0,94.507,162.5181
2.984627,-15.56375,9.019633,0,0,0,0,94.48628,162.3369
2.994968,-15.56583,9.512598,0,0,0,0,94.46776,162.1752
3,-17.69712,2.55782,0,0,0,0,94.462,161.9342
3.01,-18.54339,2.833747,0,0,0,0,94.161,161.7598
3.02,-19.28791,3.077002,0,0,0,0,93.89154,161.577
3.03,-19.9291,3.28701,0,0,0,0,93.65833,161.3866
3.04,-20.48096,3.468258,0,0,0,0,93.45005,161.1899
3.05,-20.95333,3.623893,0,0,0,0,93.27794,160.9875
3.06,-21.3584,3.75783,0,0,0,0,93.11474,160.7805
3.07,-21.70437,3.872704,0,0,0,0,92.98159,160.5694
3.08,-21.99886,3.970954,0,0,0,0,92.85401,160.3549
3.09,-22.24873,4.054792,0,0,0,0,92.74784,160.1374
3.1,-22.46016,4.1262,0,0,0,0,92.64619,159.9174
3.11,-22.63764,4.186625,0,0,0,0,92.56343,159.6952
3.12,-22.78581,4.237559,0,0,0,0,92.49513,159.4712
3.13,-22.90889,4.280363,0,0,0,0,92.42206,159.2458
3.14,-23.00982,4.315982,0,0,0,0,92.36613,159.019
3.15,-23.09146,4.345341,0,0,0,0,92.31041,158.7913
3.16,-23.15702,4.369475,0,0,0,0,92.26308,158.5628
3.17,-23.20791,4.388838,0,0,0,0,92.21643,158.3336
3.18,-23.24609,4.404066,0,0,0,0,92.17786,158.1038
3.19,-23.27371,4.41585,0,0,0,0,92.14881,157.8736
3.2,-23.29211,4.42463,0,0,0,0,92.11384,157.6432
3.21,-23.30251,4.430794,0,0,0,0,92.08152,157.4127
3.22,-23.30576,4.434621,0,0,0,0,92.05452,157.1819
3.23,-23.30267,4.436373,0,0,0,0,92.03353,156.9511
3.24,-23.2945,4.436459,0,0,0,0,92.00727,156.7205
3.25,-23.28184,4.435069,0,0,0,0,91.98753,156.4898
3.26,-23.2653,4.432401,0,0,0,0,91.9661,156.2593
3.27,-23.24539,4.428624,0,0,0,0,91.9478,156.029
3.28,-23.22258,4.423887,0,0,0,0,91.92849,155.7988
3.29,-23.19726,4.418321,0,0,0,0,91.90503,155.5689
3.3,-23.16979,4.412037,0,0,0,0,91.89331,155.3391
3.31,-23.14046,4.405135,0,0,0,0,91.88024,155.1097
3.32,-23.10954,4.3977,0,0,0,0,91.86271,154.8806
3.33,-23.07725,4.389806,0,0,0,0,91.83867,154.6518
3.34,-23.04379,4.381519,0,0,0,0,91.83004,154.4231
3.35,-23.00934,4.372894,0,0,0,0,91.81577,154.1949
3.36,-22.97404,4.363981,0,0,0,0,91.80381,153.967
3.37,-22.93804,4.354821,0,0,0,0,91.78712,153.7395
3.38,-22.90143,4.345455,0,0,0,0,91.77565,153.5123
3.39,-22.86432,4.335911,0,0,0,0,91.76738,153.2855
3.4,-22.82678,4.326218,0,0,0,0,91.75229,153.0591
3.41,-22.78891,4.316401,0,0,0,0,91.73733,152.8331
3.42,-22.75076,4.30648,0,0,0,0,91.7215,152.6074
3.43,-22.71238,4.296474,0,0,0,0,91.71078,152.382
3.44,-22.67382,4.286399,0,0,0,0,91.69915,152.157
3.45,-22.63513,4.276269,0,0,0,0,91.68459,151.9324
3.46,-22.59641,4.266116,0,0,0,0,91.6731,151.7082
3.47,-22.55766,4.255946,0,0,0,0,91.66367,151.4843
3.48,-22.51888,4.245752,0,0,0,0,91.65527,151.2609
3.49,-22.48008,4.235542,0,0,0,0,91.63092,151.0379
3.5,-22.44128,4.225321,0,0,0,0,91.62259,150.8151
3.51,-22.40251,4.215096,0,0,0,0,91.61729,150.5927
3.52,-22.36377,4.204873,0,0,0,0,91.60401,150.3709
3.53,-22.32507,4.194655,0,0,0,0,91.58975,150.1493
3.54,-22.28644,4.184446,0,0,0,0,91.58049,149.9282
3.55,-22.24788,4.17425,0,0,0,0,91.56425,149.7074
3.56,-22.2094,4.164068,0,0,0,0,91.55201,149.4869
3.57,-22.171,4.153904,0,0,0,0,91.54477,149.2669
3.58,-22.1327,4.14376,0,0,0,0,91.53653,149.0472
3.59,-22.09449,4.133638,0,0,0,0,91.52229,148.828
3.6,-22.05638,4.123539,0,0,0,0,91.50704,148.6091
3.61,-22.01838,4.113464,0,0,0,0,91.4998,148.3906
3.62,-21.98049,4.103415,0,0,0,0,91.48454,148.1725
3.63,-21.94271,4.093392,0,0,0,0,91.47128,147.9547
3.64,-21.90504,4.083396,0,0,0,0,91.46101,147.7373
3.65,-21.86749,4.073429,0,0,0,0,91.44874,147.5202
3.66,-21.83006,4.06349,0,0,0,0,91.43845,147.3035
3.67,-21.79274,4.05358,0,0,0,0,91.42915,147.0872
3.68,-21.75554,4.043699,0,0,0,0,91.41285,146.8713
3.69,-21.71847,4.033849,0,0,0,0,91.40553,146.6557
3.7,-21.68161,4.024061,0,0,0,0,91.3962,146.4405
3.71,-21.64487,4.014304,0,0,0,0,91.38186,146.2257
3.72,-21.60826,4.004577,0,0,0,0,91.37251,146.0113
3.73,-21.57177,3.99488,0,0,0,0,91.35815,145.7972
3.74,-21.5354,3.985214,0,0,0,0,91.35378,145.5834
3.75,-21.49915,3.975578,0,0,0,0,91.33839,145.3701
3.76,-21.46302,3.965973,0,0,0,0,91.31899,145.1571
3.77,-21.42701,3.956398,0,0,0,0,91.31358,144.9443
3.78,-21.39112,3.946853,0,0,0,0,91.29616,144.732
3.79,-21.35536,3.937339,0,0,0,0,91.29373,144.52
3.8,-21.31971,3.927855,0,0,0,0,91.28028,144.3084
3.81,-21.28419,3.918402,0,0,0,0,91.26982,144.0971
3.82,-21.24879,3.908979,0,0,0,0,91.25834,143.8862
3.83,-21.2135,3.899586,0,0,0,0,91.24986,143.6757
3.84,-21.17834,3.890223,0,0,0,0,91.23236,143.4655
3.85,-21.14329,3.88089,0,0,0,0,91.22185,143.2556
3.86,-21.10836,3.871587,0,0,0,0,91.21233,143.0461
3.87,-21.07355,3.862314,0,0,0,0,91.20279,142.8369
3.88,-21.03886,3.853071,0,0,0,0,91.18525,142.6281
3.89,-21.00429,3.843856,0,0,0,0,91.17569,142.4196
3.9,-20.96983,3.834672,0,0,0,0,91.16611,142.2114
3.91,-20.93549,3.825517,0,0,0,0,91.14653,142.0035
3.92,-20.90126,3.816391,0,0,0,0,91.14693,141.7959
3.93,-20.86715,3.807295,0,0,0,0,91.12932,141.5888
3.94,-20.8332,3.798241,0,0,0,0,91.1247,141.3819
3.95,-20.79941,3.789234,0,0,0,0,91.10706,141.1755
3.96,-20.76573,3.780255,0,0,0,0,91.10042,140.9693
3.97,-20.73216,3.771304,0,0,0,0,91.08976,140.7635
3.98,-20.69871,3.762382,0,0,0,0,91.07509,140.558
3.99,-20.66537,3.753488,0,0,0,0,91.06641,140.3528
4,-20.63214,3.744622,0,0,0,0,91.05371,140.1481
