# Time (s),Vertical acceleration (m/s²),Lateral acceleration (m/s²),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Air temperature (°C),Air pressure (mbar)
0.01,14.89,2.62551,0,0,0,0,99.5794
0.02,83.6503,14.7498,0,0,0,0,99.5793
0.03,85.7016,15.1115,0,0,0,0,99.5791
0.04,87.0996,15.358,0,0,0,0,99.5789
0.05,87.5927,15.445,0,0,0,0,99.5785
0.06,87.1804,15.3723,0,0,0,0,99.578
0.07,86.7668,15.2993,0,0,0,0,99.5774
0.08,86.3518,15.2262,0,0,0,0,99.5767
0.09,85.9356,15.1528,0,0,0,0,99.5759
0.1,85.5182,15.0792,0,0,0,0,99.575
0.11,85.0997,15.0054,0,0,0,0,99.574
0.12,84.6802,14.9314,0,0,0,0,99.5729
0.13,84.2596,14.8572,0,0,0,0,99.5717
0.14,83.838,14.7829,0,0,0,0,99.5703
0.15,83.4154,14.7084,0,0,0,0,99.5689
0.16,82.9921,14.6337,0,0,0,0,99.5674
0.17,82.5681,14.559,0,0,0,0,99.5658
0.18,82.1433,14.4841,0,0,0,0,99.5641
0.19,81.718,14.4091,0,0,0,0,99.5623
0.2,81.4223,14.357,0,0,0,0,99.5604
0.21,81.909,14.4428,0,0,0,0,99.5583
0.22,82.5265,14.5516,0,0,0,0,99.5562
0.235,83.4701,13.7608,0,0,0,0,99.5529
0.2575,84.506,13.7886,0,0,0,0,99.5474
0.29125,83.8585,13.7193,0,0,0,0,99.5382
0.34125,83.3555,13.4118,0,0,0,0,99.5226
0.386721,83.4515,15.7899,0,0,0,0,99.5061
0.436721,81.3146,17.3687,0,0,0,0,99.4856
0.486721,80.83,18.6187,0,0,0,0,99.4627
0.536721,80.9413,19.7157,0,0,0,0,99.4373
0.586721,81.0117,20.8798,0,0,0,0,99.4095
0.636721,80.7673,22.7859,0,0,0,0,99.3792
0.686721,79.9866,25.3338,0,0,0,0,99.3465
0.736721,79.0435,28.0441,0,0,0,0,99.3113
0.786721,77.9035,31.0157,0,0,0,0,99.2738
0.836721,76.5925,33.7838,0,0,0,0,99.2339
0.885263,75.1868,36.2227,0,0,0,0,99.193
0.916757,74.3333,37.3785,0,0,0,0,99.1653
0.943776,73.7986,37.992,0,0,0,0,99.1408
0.969183,73.2053,38.8106,0,0,0,0,99.1172
0.990979,72.7222,39.4289,0,0,0,0,99.0965
1.0102,72.4211,39.7015,0,0,0,0,99.0779
1.02808,72.2613,39.7027,0,0,0,0,99.0603
1.04533,72.1988,39.5127,0,0,0,0,99.043
1.0623,72.5214,38.4298,0,0,0,0,99.0258
1.08171,73.0996,36.725,0,0,0,0,99.0058
1.108,73.909,34.3756,0,0,0,0,98.9782
1.14743,74.9259,31.1071,0,0,0,0,98.9356
1.19743,76.185,26.4138,0,0,0,0,98.8796
1.21766,76.1945,25.6242,0,0,0,0,98.8563
1.23706,76.1252,25.4114,0,0,0,0,98.8335
1.25694,75.9731,25.4646,0,0,0,0,98.8099
1.27808,75.673,25.7964,0,0,0,0,98.7844
1.30183,75.1485,26.4176,0,0,0,0,98.7552
1.3312,74.4031,27.4939,0,0,0,0,98.7184
1.37525,73.5002,28.4576,0,0,0,0,98.6617
1.42525,72.2542,29.8507,0,0,0,0,98.5954
1.47525,70.8094,31.5698,0,0,0,0,98.5269
1.52525,69.608,32.5361,0,0,0,0,98.4562
1.56074,69.127,32.0395,0,0,0,0,98.4048
1.60637,69.2363,29.957,0,0,0,0,98.3371
1.65637,68.1708,30.8709,0,0,0,0,98.2609
1.70637,67.2283,31.3599,0,0,0,0,98.1827
1.74345,66.9414,30.365,0,0,0,0,98.1234
1.79345,66.8188,27.9328,0,0,0,0,98.0417
1.84345,66.0423,25.9525,0,0,0,0,97.958
1.89345,66.1944,21.3963,0,0,0,0,97.8723
1.90667,66.152,20.6846,0,0,0,0,97.8493
1.91894,65.9581,21.0139,0,0,0,0,97.8278
1.93173,65.6718,21.6157,0,0,0,0,97.8053
1.94561,65.2692,22.5306,0,0,0,0,97.7808
1.96164,64.7939,23.5728,0,0,0,0,97.7522
1.98078,64.1341,25.0183,0,0,0,0,97.7178
2.00706,62.7556,27.2989,0,0,0,0,97.6702
2.04648,58.0149,29.8555,0,0,0,0,97.5977
2.08116,52.3029,32.2575,0,0,0,0,97.5331
2.09416,49.2256,32.4453,0,0,0,0,97.5087
2.10523,47.0138,32.3771,0,0,0,0,97.4881
2.11531,44.7319,31.9488,0,0,0,0,97.4693
2.12484,42.7141,31.3455,0,0,0,0,97.4516
2.13412,40.8757,30.5677,0,0,0,0,97.4342
2.14335,39.1601,29.607,0,0,0,0,97.4169
2.15276,37.5736,28.3298,0,0,0,0,97.3993
2.16274,36.196,26.5393,0,0,0,0,97.3805
2.17427,35.2046,24.5068,0,0,0,0,97.3587
2.18886,34.1897,21.8123,0,0,0,0,97.3311
2.21074,32.8426,17.7614,0,0,0,0,97.2896
