# Simulation 5 (Up to date)
# 2813 data points written for 14 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#
# Time (s),Altitude (m),Vertical acceleration (m/s²),Total velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Air temperature (°C),Air pressure (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,2.087646e-5,10.440078,0.020877,0,42.6609,77.0539,0,0,0,90,0,12.985119,976.894351
0.004,1.644898e-4,50.934816,0.122739,0,42.6609,77.0539,0,0,0,90,0,12.985119,976.894334
0.006,5.9283e-4,91.440647,0.305606,0,42.6609,77.0539,0,0,0,90,0,12.985116,976.894284
0.008,0.001468,131.95756,0.569502,0,42.6609,77.0539,0,0,0,90,0,12.98511,976.894181
0.01,0.002952,172.485524,0.914448,0,42.6609,77.0539,0,0,0,90,0,12.9851,976.894007
0.012,0.005207,213.024465,1.340467,0,42.6609,77.0539,0,0,0,90,0,12.985086,976.893742
0.014,0.008353,232.508879,1.805423,0,42.6609,77.0539,0,0,0,90,0,12.985065,976.893373
0.016,0.012425,230.901037,2.267164,0,42.6609,77.0539,0,0,0,90,0,12.985039,976.892896
0.018,0.017418,229.292111,2.725688,0,42.6609,77.0539,0,0,0,90,0,12.985006,976.89231
# Event LIFTOFF occurred at t=0.02 seconds
0.02,0.023325,227.682084,3.180993,0,42.6609,77.0539,0,0,0,90,0,12.984968,976.891617
0.022,0.030139,226.070948,3.633076,0,42.6609,77.0539,0,0,0,90,0,12.984924,976.890818
0.024,0.037854,224.458701,4.081936,0,42.6609,77.0539,0,0,0,90,0,12.984874,976.889913
0.026,0.046463,222.845348,4.527569,0,42.6609,77.0539,0,0,0,90,0,12.984818,976.888904
0.028,0.055961,221.230895,4.969974,0,42.6609,77.0539,0,0,0,90,0,12.984756,976.88779
0.03,0.06634,219.615353,5.409149,0,42.6609,77.0539,0,0,0,90,0,12.984688,976.886573
0.032,0.077594,217.998733,5.845091,0,42.6609,77.0539,0,0,0,90,0,12.984615,976.885253
0.034,0.089717,216.38105,6.277798,0,42.6609,77.0539,0,0,0,90,0,12.984536,976.883831
0.036,0.102702,214.762316,6.707268,0,42.6609,77.0539,0,0,0,90,0,12.984452,976.882308
0.038,0.116543,213.142544,7.1335,0,42.6609,77.0539,0,0,0,90,0,12.984362,976.880685
0.04,0.131233,211.521748,7.55649,0,42.6609,77.0539,0,0,0,90,0,12.984267,976.878962
0.042,0.146765,209.899942,7.976238,0,42.6609,77.0539,0,0,0,90,0,12.984166,976.87714
0.044,0.163134,208.277136,8.39274,0,42.6609,77.0539,0,0,0,90,0,12.984059,976.87522
0.046,0.180333,206.653343,8.805996,0,42.6609,77.0539,0,0,0,90,0,12.983947,976.873203
0.048,0.198355,205.028575,9.216002,0,42.6609,77.0539,0,0,0,90,0,12.98383,976.871089
0.05,0.217194,203.40284,9.622758,0,42.6609,77.0539,0,0,0,90,0,12.983708,976.86888
