# Simulation 4 (Up to date)
# 464 data points written for 53 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-3.832e-4,-0.077,-7.665,0.077,7.665,0,0,0,0,0,0,45,0,9.806,92.207,0,0,0,71.253,23.094,0.001,1.026e-5,NaN,25.98,NaN,0.006,5.723e4,0.153,-1.461e-7,0.873,-1.227e-4,0.68,0.073,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,1.989,15,1013.25,340.389,0.01,0.016
0.02,-1.691e-4,-0.034,-3.382,0.034,3.382,0,0,0,0,0,0,45,0,9.806,90.965,0,0,0,71.247,23.088,0.001,1.026e-5,NaN,25.979,NaN,0.006,5.775e4,0.458,-1.256e-8,0.871,-1.036e-5,0.678,0.073,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.008,15,1013.25,340.389,0.01,0.019
0.03,4.509e-5,0.009,0.902,0.009,0.902,0,0,0,0,0,0,45,0,9.806,89.745,0,0,0,71.242,23.083,0.001,1.026e-5,NaN,25.978,NaN,0.006,5.829e4,0.763,0,0.87,1.922e-7,0.676,0.073,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.027,15,1013.25,340.389,0.01,0.021
0.04,4.888e-4,0.08,7.075,0.08,7.075,0,0,0,0,0,0,45,0,9.806,87.769,0,0,0,71.209,23.05,0.001,1.026e-5,NaN,25.973,NaN,0.006,5.889e4,1.202,1.587e-7,0.868,1.259e-4,0.675,0.073,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.046,15,1013.25,340.389,0.01,0.023
0.05,0.002,0.24,15.997,0.24,15.997,0,0,0,0,0,0,45,0,9.806,83.382,0,0,0,71.174,23.015,0.001,1.025e-5,NaN,25.968,NaN,0.006,5.979e4,1.836,4.059e-6,0.865,0.003,0.672,0.073,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.065,15,1013.25,340.389,0.01,0.025
0.06,0.006,0.489,24.95,0.489,24.95,0,0,0,0,0,0,45,0,9.806,76.521,0,0,0,71.139,22.98,0.001,1.025e-5,NaN,25.962,NaN,0.006,6.034e4,2.473,3.221e-5,0.863,0.024,0.67,0.073,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.04,15,1013.249,340.389,0.01,0.028
0.07,0.012,0.828,33.912,0.828,33.912,0,0,0,0,0,0,45,0,9.806,67.665,0,0,0,71.103,22.944,0.001,1.025e-5,NaN,25.956,NaN,0.006,6.266e4,3.109,1.402e-4,0.856,0.098,0.663,0.073,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,2.016,15,1013.249,340.389,0.01,0.03
# Event LIFTOFF occurred at t=0.08 seconds
0.08,0.023,1.257,42.88,1.257,42.88,0,0,0,0,0,0,45,0,9.806,57.735,0,0,0,71.068,22.909,0.001,1.025e-5,NaN,25.951,NaN,0.007,6.77e4,3.745,4.207e-4,0.841,0.252,0.649,0.072,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,1.991,15,1013.247,340.389,0.01,0.031
0.09,0.038,1.775,51.853,1.775,51.853,0,0,0,0,0,0,45,0,9.806,47.917,0,0,0,71.033,22.873,0.001,1.025e-5,NaN,25.945,NaN,0.008,7.617e4,4.381,9.782e-4,0.82,0.464,0.629,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.909,90,0,1.966,15,1013.246,340.389,0.01,0.033
