# 0MPH-SA-45DEG-COLD (Up to date)
# 2973 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (22.1 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019081,-9.540464,0.019186,9.593016,-0.000002,0,0.000002,3.141593,0.002005,1.002743,0.575786,1.867068,9.791353,1.507247,0,0,0,31.8471,8.45895,29.722842,0.111926,NaN,1.817664,NaN,0.001359,83570.97799,4.60824,0.000001,0.786241,0.000488,0.70602,0.009786,0.070435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.465201,289.53313,84482.689719,341.227077,0.002,0.001816
0.004,-0.000019,-0.018505,-9.252651,0.018607,9.303617,-0.000002,0,0.000002,3.141593,0.001945,0.972493,0.575786,1.867068,9.791353,1.50594,0,0,0,31.84705,8.458901,29.722792,0.111926,NaN,1.817663,NaN,0.001361,83706.232292,13.82472,0.000001,0.78594,0.000518,0.70572,0.009786,0.070435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.465915,289.53313,84482.689718,341.227077,0.002,0.002215
0.006,-0.000018,-0.01793,-8.964837,0.018028,9.014218,-0.000002,0,0.000002,3.141593,0.001884,0.942242,0.575786,1.867068,9.791353,1.504637,0,0,0,31.847001,8.458851,29.722742,0.111926,NaN,1.817661,NaN,0.001363,83841.629198,23.0412,0.000001,0.785641,0.00055,0.70542,0.009786,0.070435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.466628,289.53313,84482.689717,341.227077,0.002,0.002588
0.008,-0.000017,-0.017354,-8.677022,0.01745,8.724818,-0.000002,0,0.000002,3.141593,0.001824,0.911992,0.575786,1.867068,9.791353,1.503338,0,0,0,31.846951,8.458802,29.722693,0.111926,NaN,1.817659,NaN,0.001365,83977.168022,32.25768,0.000001,0.785341,0.000582,0.705121,0.009786,0.070435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.467342,289.53313,84482.689715,341.227077,0.002,0.002961
0.01,-0.000017,-0.016778,-8.389207,0.016871,8.435417,-0.000002,0,0.000002,3.141593,0.001763,0.881741,0.575786,1.867068,9.791353,1.502044,0,0,0,31.846902,8.458752,29.722643,0.111926,NaN,1.817658,NaN,0.001367,84112.848077,41.47416,0.000001,0.785042,0.000615,0.704821,0.009786,0.070435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.468056,289.53313,84482.689714,341.227077,0.002,0.003333
0.012,-0.000016,-0.016203,-8.10139,0.016292,8.146015,-0.000002,0,0.000002,3.141593,0.001703,0.85149,0.575786,1.867068,9.791353,1.500753,0,0,0,31.846852,8.458703,29.722593,0.111926,NaN,1.817656,NaN,0.00137,84248.668683,50.69064,0.000001,0.784743,0.00065,0.704522,0.009786,0.070435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.46877,289.53313,84482.689713,341.227077,0.002,0.003735
0.014,-0.000016,-0.015627,-7.813572,0.015713,7.856612,-0.000002,0,0.000002,3.141593,0.001642,0.82124,0.575786,1.867068,9.791353,1.499467,0,0,0,31.846803,8.458653,29.722543,0.111926,NaN,1.817655,NaN,0.001372,84384.629163,59.90712,0.000001,0.784444,0.000686,0.704224,0.009786,0.070435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.469483,289.53313,84482.689712,341.227077,0.002,0.004114
0.016,-0.000015,-0.015052,-7.525754,0.015134,7.567208,-0.000002,0,0.000002,3.141593,0.001582,0.790989,0.575786,1.867068,9.791353,1.498185,0,0,0,31.846753,8.458604,29.722493,0.111926,NaN,1.817653,NaN,0.001374,84520.728842,69.1236,0.000002,0.784146,0.000723,0.703926,0.009786,0.070435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.470197,289.53313,84482.689711,341.227077,0.002,0.004488
0.018,-0.000014,-0.014476,-7.237935,0.014556,7.277803,-0.000002,0,0.000002,3.141593,0.001521,0.760738,0.575786,1.867068,9.791353,1.496907,0,0,0,31.846704,8.458554,29.722443,0.111926,NaN,1.817652,NaN,0.001376,84656.967051,78.34008,0.000002,0.783848,0.00076,0.703628,0.009786,0.070435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.470911,289.53313,84482.68971,341.227077,0.002,0.004859
0.02,-0.000014,-0.0139,-6.950114,0.013977,6.988398,-0.000001,0,0.000001,3.141593,0.001461,0.730486,0.575786,1.867068,9.791353,1.495633,0,0,0,31.846654,8.458505,29.722394,0.111926,NaN,1.81765,NaN,0.001378,84793.343124,87.55656,0.000002,0.783551,0.0008,0.70333,0.009786,0.070435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.471625,289.53313,84482.689708,341.227077,0.002,0.005234
0.022,-0.000013,-0.013325,-6.662293,0.013398,6.698991,-0.000001,0,0.000001,3.141593,0.0014,0.700235,0.575786,1.867068,9.791353,1.494363,0,0,0,31.846605,8.458455,29.722344,0.111926,NaN,1.817649,NaN,0.001381,84929.856398,96.77304,0.000002,0.783254,0.00084,0.703033,0.009786,0.070435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.472338,289.53313,84482.689707,341.227077,0.002,0.005605
