# 0MPH-SA (Up to date)
# 2957 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (21.6 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019081,-9.540464,0.019186,9.593016,-0.000002,0,0.000002,3.141593,0.002005,1.002743,0.575786,1.867068,9.791353,1.658385,0,0,0,31.8471,8.45895,29.722842,0.111926,NaN,1.817664,NaN,0.000298,19487.07284,4.60824,-0,1.160455,-0.001859,1.080267,0.009753,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011309,334.878113,0.002,0.035207
0.004,-0.000019,-0.018505,-9.252651,0.018607,9.303617,-0.000002,0,0.000002,3.141593,0.001945,0.972493,0.575786,1.867068,9.791353,1.652606,0,0,0,31.84705,8.458901,29.722792,0.111926,NaN,1.817663,NaN,0.000298,19477.515179,13.82472,-0,1.160627,-0.001521,1.08044,0.009753,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011303,334.878113,0.002,0.041565
0.006,-0.000018,-0.01793,-8.964837,0.018028,9.014218,-0.000002,0,0.000002,3.141593,0.001884,0.942242,0.575786,1.867068,9.791353,1.646823,0,0,0,31.847001,8.458851,29.722742,0.111926,NaN,1.817661,NaN,0.000298,19468.608421,23.0412,-0,1.160788,-0.001225,1.080601,0.009753,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011297,334.878113,0.002,0.047264
0.008,-0.000017,-0.017354,-8.677022,0.01745,8.724818,-0.000002,0,0.000002,3.141593,0.001824,0.911992,0.575786,1.867068,9.791353,1.641034,0,0,0,31.846951,8.458802,29.722693,0.111926,NaN,1.817659,NaN,0.000298,19460.353464,32.25768,-0,1.160937,-0.00097,1.08075,0.009753,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011291,334.878113,0.002,0.054987
0.01,-0.000017,-0.016778,-8.389207,0.016871,8.435417,-0.000002,0,0.000002,3.141593,0.001763,0.881741,0.575786,1.867068,9.791353,1.63524,0,0,0,31.846902,8.458752,29.722643,0.111926,NaN,1.817658,NaN,0.000298,19452.751144,41.47416,-0,1.161075,-0.000752,1.080887,0.009753,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011285,334.878113,0.002,0.061803
0.012,-0.000016,-0.016203,-8.10139,0.016292,8.146015,-0.000002,0,0.000002,3.141593,0.001703,0.85149,0.575786,1.867068,9.791353,1.629442,0,0,0,31.846852,8.458703,29.722593,0.111926,NaN,1.817656,NaN,0.000297,19445.802233,50.69064,-0,1.1612,-0.000569,1.081013,0.009753,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011279,334.878113,0.002,0.068182
0.014,-0.000016,-0.015627,-7.813572,0.015713,7.856612,-0.000002,0,0.000002,3.141593,0.001642,0.82124,0.575786,1.867068,9.791353,1.623641,0,0,0,31.846803,8.458653,29.722543,0.111926,NaN,1.817655,NaN,0.000297,19439.507438,59.90712,-0,1.161314,-0.000417,1.081127,0.009753,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011272,334.878113,0.002,0.072066
0.016,-0.000015,-0.015052,-7.525754,0.015134,7.567208,-0.000002,0,0.000002,3.141593,0.001582,0.790989,0.575786,1.867068,9.791353,1.617835,0,0,0,31.846753,8.458604,29.722493,0.111926,NaN,1.817653,NaN,0.000297,19433.867401,69.1236,-0,1.161417,-0.000296,1.081229,0.009753,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011266,334.878113,0.002,0.07609
0.018,-0.000014,-0.014476,-7.237935,0.014556,7.277803,-0.000002,0,0.000002,3.141593,0.001521,0.760738,0.575786,1.867068,9.791353,1.612027,0,0,0,31.846704,8.458554,29.722443,0.111926,NaN,1.817652,NaN,0.000297,19428.882697,78.34008,-0,1.161507,-0.0002,1.08132,0.009753,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.01126,334.878113,0.002,0.079713
0.02,-0.000014,-0.0139,-6.950114,0.013977,6.988397,-0.000001,0,0.000001,3.141593,0.001461,0.730486,0.575786,1.867068,9.791353,1.606215,0,0,0,31.846654,8.458505,29.722394,0.111926,NaN,1.81765,NaN,0.000297,19424.553838,87.55656,-0,1.161585,-0.000127,1.081398,0.009753,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011254,334.878113,0.002,0.083539
