# Simulation 2 (Up to date)
# 555 data points written for 34 variables.
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.037,2.265,226.68,2.265,226.68,0,0,0,0,0,0,28.61,-80.6,9.792,41.766,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,2.023,15,1013.249,340.389,0.01,0.01
# Event LIFTOFF occurred at t=0.02 seconds
0.02,0.163,5.424,316.064,5.424,316.064,0,0,0,0,0,0,28.61,-80.6,9.792,20.362,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,2.013,15,1013.244,340.389,0.01,0.011
0.03,0.392,8.532,311.067,8.532,311.067,0,0,0,0,0,0,28.61,-80.6,9.792,13.212,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,2.003,14.999,1013.236,340.388,0.01,0.012
0.04,0.723,11.607,307.644,11.607,307.644,0,0,0,0,0,0,28.61,-80.6,9.792,9.744,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,1.993,14.999,1013.224,340.388,0.01,0.013
0.049,1.088,14.233,304.992,14.233,304.992,0,0,0,0,0,0,28.61,-80.6,9.792,7.938,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,1.985,14.998,1013.211,340.388,0.009,0.014
0.056,1.44,16.359,302.737,16.359,302.737,0,0,0,0,0,0,28.61,-80.6,9.792,6.911,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,1.983,14.997,1013.199,340.387,0.007,0.015
0.062,1.787,18.2,301.227,18.2,301.227,0,0,0,0,0,0,28.61,-80.6,9.792,6.216,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,1.982,14.996,1013.186,340.387,0.006,0.016
0.067,2.13,19.855,301.367,19.855,301.367,0,0,0,0,0,0,28.61,-80.6,9.792,5.701,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,1.982,14.996,1013.174,340.386,0.005,0.017
0.072,2.47,21.374,301.629,21.374,301.629,0,0,0,0,0,0,28.61,-80.6,9.792,5.297,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,1.982,14.995,1013.162,340.386,0.005,0.018
0.077,2.809,22.786,301.867,22.786,301.867,0,0,0,0,0,0,28.61,-80.6,9.792,4.97,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,1.981,14.994,1013.15,340.386,0.005,0.019
0.081,3.147,24.111,302.084,24.111,302.084,0,0,0,0,0,0,28.61,-80.6,9.792,4.697,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,1.981,14.994,1013.137,340.385,0.004,0.02
# Event LAUNCHROD occurred at t=0.086 seconds
0.086,3.484,25.365,302.284,25.365,302.284,0,0,0,0,0,0,28.61,-80.6,9.792,4.465,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,1.981,14.993,1013.125,340.385,0.004,0.021
0.092,4.021,27.247,302.548,27.247,302.55,-7.532e-5,0,7.532e-5,180,0.007,1.222,28.61,-80.6,9.792,4.14,0,0.002,4.953e-7,0.936,-4.211e-4,0,0,0,0,3.628e-5,89.998,-0.007,1.98,14.992,1013.106,340.384,0.006,0.022
0.101,4.898,30.072,302.919,30.072,302.922,-4.803e-4,0,4.803e-4,-180,0.019,1.265,28.61,-80.6,9.792,3.72,0,0.004,1.55e-6,0.848,3.678e-4,0,0,0,0,2.074e-4,89.989,-0.017,1.98,14.99,1013.075,340.383,0.009,0.022
0.115,6.376,34.309,302.745,34.309,302.748,-0.002,-1.424e-8,0.002,-180,0.037,1.231,28.61,-80.6,9.792,3.215,0,0.008,3.274e-6,0.742,-3.807e-4,0,0,0,0,6.689e-4,89.958,-0.01,1.989,14.987,1013.022,340.381,0.014,0.023
0.136,8.958,40.646,301.907,40.646,301.909,-0.005,-9.087e-8,0.005,-179.999,0.06,0.899,28.61,-80.6,9.792,2.604,0,0.016,-2.486e-6,0.609,-3.011e-4,0,0,0,0,0.002,89.868,-0.005,2.003,14.982,1012.93,340.378,0.021,0.024
0.166,13.34,49.544,300.473,49.544,300.473,-0.012,-4.443e-7,0.012,-179.998,0.072,0.244,28.61,-80.6,9.792,1.91,-9.852e-9,0.028,4.215e-7,0.453,-7.577e-5,0,0,0,0,0.004,89.638,-0.005,2.037,14.974,1012.773,340.373,0.03,0.025
0.192,18.009,57.487,298.618,57.487,298.625,-0.017,-1.29e-6,0.017,-179.996,0.043,2.045,28.61,-80.6,9.792,1.352,-6.886e-9,0.039,6.463e-7,0.324,-4.079e-4,0,0,0,0,0.005,89.322,-0.005,2.08,14.964,1012.606,340.367,0.027,0.025
0.22,23.58,65.649,295.764,65.649,295.803,-0.018,-3.135e-6,0.018,-179.99,0.049,4.822,28.61,-80.6,9.792,0.727,2.744e-8,0.048,9.736e-6,0.174,-4.297e-4,0,0,0,0,0.006,88.887,-0.005,2.057,14.953,1012.407,340.361,0.028,0.026
