# Simulation 2 (Up to date)
# 555 data points written for 34 variables.
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.037,2.265,226.68,2.265,226.68,0,0,0,0,0,0,28.61,-80.6,9.792,41.766,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,2.023,15,1013.249,340.389,0.01,0.01
# Event LIFTOFF occurred at t=0.02 seconds
0.02,0.163,5.424,316.064,5.424,316.064,0,0,0,0,0,0,28.61,-80.6,9.792,20.362,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,2.013,15,1013.244,340.389,0.01,0.011
0.03,0.392,8.532,311.067,8.532,311.067,0,0,0,0,0,0,28.61,-80.6,9.792,13.212,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,2.003,14.999,1013.236,340.388,0.01,0.012
0.04,0.723,11.607,307.644,11.607,307.644,0,0,0,0,0,0,28.61,-80.6,9.792,9.744,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,1.993,14.999,1013.224,340.388,0.01,0.013
0.049,1.088,14.233,304.992,14.233,304.992,0,0,0,0,0,0,28.61,-80.6,9.792,7.938,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,1.985,14.998,1013.211,340.388,0.009,0.014
0.056,1.44,16.359,302.737,16.359,302.737,0,0,0,0,0,0,28.61,-80.6,9.792,6.911,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,1.983,14.997,1013.199,340.387,0.007,0.015
0.062,1.787,18.2,301.227,18.2,301.227,0,0,0,0,0,0,28.61,-80.6,9.792,6.216,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,1.982,14.996,1013.186,340.387,0.006,0.016
0.067,2.13,19.855,301.367,19.855,301.367,0,0,0,0,0,0,28.61,-80.6,9.792,5.701,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,1.982,14.996,1013.174,340.386,0.005,0.017
0.072,2.47,21.374,301.629,21.374,301.629,0,0,0,0,0,0,28.61,-80.6,9.792,5.297,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,1.982,14.995,1013.162,340.386,0.005,0.018
0.077,2.809,22.786,301.867,22.786,301.867,0,0,0,0,0,0,28.61,-80.6,9.792,4.97,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,1.981,14.994,1013.15,340.386,0.005,0.019
0.081,3.147,24.111,302.084,24.111,302.084,0,0,0,0,0,0,28.61,-80.6,9.792,4.697,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,1.981,14.994,1013.137,340.385,0.004,0.02
# Event LAUNCHROD occurred at t=0.086 seconds
0.086,3.484,25.365,302.284,25.365,302.284,0,0,0,0,0,0,28.61,-80.6,9.792,4.465,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,1.981,14.993,1013.125,340.385,0.004,0.021
0.326,51.895,96.261,285.183,96.27,285.723,0.173,-2.756e-5,0.173,-0.009,1.276,17.558,28.61,-80.6,9.792,0.85,2.524e-8,-0.023,-9.965e-6,0.221,1.415e-4,0,0,0,0,-6.527e-4,87.136,0.002,2.106,14.897,1011.395,340.327,0.017,0.028
0.49,115.648,140.978,265.962,141.018,266.006,1.529,-5.517e-5,1.529,-0.002,3.329,4.802,28.61,-80.6,9.792,0.498,0,0.006,-2.885e-5,0.14,-1.993e-4,0,0,0,0,1.777e-5,88.254,0.005,2.197,14.771,1009.116,340.25,0.01,0.035
0.635,191.479,178.047,246.04,178.116,246.203,3.449,-6.8e-5,3.449,-0.001,4.955,8.94,28.61,-80.6,9.792,0.075,-3.348e-8,-0.03,4.749e-5,0.023,5.483e-5,0,0,0,0,-3.215e-4,87.806,0.005,2.126,14.621,1006.405,340.159,0.019,0.041
0.802,299.937,216.732,213.938,216.827,214.011,6.54,1.105e-4,6.54,9.68e-4,6.405,5.585,28.61,-80.6,9.792,0.133,-2.037e-7,-0.006,-1.102e-4,0.044,1.09e-4,0,0,0,0,-1.011e-5,87.984,0.026,1.833,14.406,1002.528,340.029,0.024,0.047
0.935,400.179,241.798,160.048,241.909,160.079,9.547,6.153e-4,9.547,0.004,7.337,3.181,28.61,-80.6,9.792,0.125,-4.734e-8,0.011,4.569e-5,0.043,-1.8e-4,0,0,0,0,2.336e-5,87.96,0.012,1.806,14.207,998.944,339.908,0.009,0.053
1.074,514.863,257.774,61.227,257.898,61.413,13.077,0.001,13.077,0.005,7.998,4.779,28.61,-80.6,9.792,0.076,-3.784e-7,-0.009,1.121e-4,0.027,-4.634e-4,0,0,0,0,-1.324e-5,87.705,0.02,1.926,13.98,994.845,339.771,0.018,0.058
