# Spaceport America (Up to date)
# 1049 data points written for 34 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (23.6 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.001,0.204,20.391,0.205,20.469,2.926e-4,0,2.926e-4,0,0.018,1.784,33,-107,9.791,78.211,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.695,5.104,843.285,334.392,0.01,0.031
0.02,0.007,1.01,80.632,1.014,80.94,0.002,0,0.002,0,0.088,7.054,33,-107,9.791,55.18,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.674,5.104,843.284,334.392,0.01,0.035
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.023,2.161,115.135,2.169,115.575,0.007,0,0.007,0,0.189,10.073,33,-107,9.791,35.447,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.653,5.104,843.283,334.392,0.01,0.037
0.04,0.05,3.281,112.054,3.294,112.482,0.014,0,0.014,0,0.287,9.803,33,-107,9.791,25.328,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.632,5.104,843.28,334.392,0.01,0.041
0.05,0.088,4.368,108.666,4.384,109.081,0.025,0,0.025,0,0.382,9.507,33,-107,9.791,19.538,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.612,5.103,843.276,334.392,0.01,0.044
0.06,0.137,5.438,107.124,5.459,107.533,0.039,0,0.039,0,0.476,9.372,33,-107,9.791,16.125,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.625,5.103,843.271,334.391,0.01,0.048
0.07,0.197,6.507,106.853,6.532,107.262,0.057,0,0.057,0,0.569,9.348,33,-107,9.791,13.748,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.639,5.103,843.265,334.391,0.01,0.051
0.08,0.268,7.572,106.583,7.601,106.99,0.077,0,0.077,0,0.662,9.325,33,-107,9.791,12.002,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.653,5.102,843.258,334.391,0.01,0.054
0.09,0.349,8.635,106.311,8.668,106.717,0.1,0,0.1,0,0.755,9.301,33,-107,9.791,10.668,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,0,1.667,5.102,843.25,334.39,0.01,0.057
